SDSSJ0002+3209,He,0.737,-5.65959127
SDSSJ0004+0819,He,0.6,-5.0969992
SDSSJ0006+0520,He,0.478,-4.436313184
SDSSJ0010-0430,He,0.651,-5.329306624
SDSSJ0013+1109,He,0.6,-4.9724
SDSSJ0019+2209,He,0.365,-3.811352595
SDSSJ0044+0418,He,0.711,-5.462562624
SDSSJ0046+2717,He,0.879,-6.35840496
SDSSJ0047+1628,He,0.6,-5.1892
SDSSJ0052+1846,He,0.6,-5.12986
SDSSJ0053+3115,He,0.6,-4.984312
SDSSJ0056+2453,He,0.6,-4.8633392
SDSSJ0108-0537,He,0.241,-3.006728
SDSSJ0114+3505,He,0.6,-5.1246912
SDSSJ0116+2050,He,0.6,-5.033956
SDSSJ0117+0021,He,0.608,-5.063963827
SDSSJ0126+2534,He,0.87,-6.272493952
SDSSJ0135+1302,He,0.633,-5.256214048
SDSSJ0143+0113,He,0.687,-5.491568992
SDSSJ0144+1920,He,0.5,-4.743570944
SDSSJ0144+0305,He,0.6,-5.0480624
SDSSJ0148-0112,He,0.6,-4.91272
SDSSJ0150+1354,He,0.741,-5.87307079
SDSSJ0158-0942,He,0.567,-4.80079504
SDSSJ0201+2015,He,0.63,-5.245892
SDSSJ0208-0542,He,0.6,-5.187304
SDSSJ0234-0510,He,0.6,-5.036032
SDSSJ0252-0401,He,0.53,-4.717224102
SDSSJ0252+0054,He,0.596,-4.984492
SDSSJ0447+1124,He,0.492,-4.487924992
SDSSJ0721+3928,He,0.296,-3.376756301
SDSSJ0736+4118,He,0.711,-5.9273424
SDSSJ0739+3112,He,0.6,-5.0928888
SDSSJ0741+3146,He,0.701,-5.61091872
SDSSJ0744+4649,He,0.602,-5.501029318
SDSSJ0744+4408,He,0.6,-5.014232
SDSSJ0744+2701,He,0.676,-5.414024512
SDSSJ0744+1640,He,0.515,-4.61664512
SDSSJ0758+1013,He,0.6,-5.20342
SDSSJ0800+2242,He,0.6,-4.8358688
SDSSJ0806+3055,He,0.6,-5.0747168
SDSSJ0807+4930,He,0.574,-5.32220752
SDSSJ0816+2330,He,0.6,-5.0185664
SDSSJ0818+1247,He,0.6,-4.89544
SDSSJ0830-0319,He,0.428,-4.148665318
SDSSJ0838+2322,He,0.727,-5.535182298
SDSSJ0842+1406,He,0.567,-4.93101
SDSSJ0842+1536,He,0.823,-5.945837664
SDSSJ0843+5614,He,0.761,-5.816548288
SDSSJ0851+1543,He,0.649,-5.406660544
SDSSJ0852+3402,He,0.425,-4.200039117
SDSSJ0901+0752,He,0.57,-5.147435338
SDSSJ0906+1141,He,0.6,-5.043592
SDSSJ0908+5136,He,0.447,-4.209407456
SDSSJ0908+4119,He,0.6,-4.97284
SDSSJ0913+2627,He,0.6,-5.422397549
SDSSJ0913+4127,He,0.6,-5.113456
SDSSJ0916+2540,He,0.612,-5.623106176
SDSSJ0924+4301,He,0.6,-4.8248
SDSSJ0925+3130,He,0.6,-5.10728
SDSSJ0929+4247,He,0.489,-4.643074029
SDSSJ0933+6334,He,0.6,-5.0611576
SDSSJ0937+5228,He,0.585,-5.0877744
SDSSJ0939+4136,He,0.848,-6.374296864
SDSSJ0939+5019,He,0.536,-4.981686848
SDSSJ0946+2024,He,0.6,-4.96444
SDSSJ0948+3008,He,0.228,-2.757494016
SDSSJ0956+5912,He,0.683,-5.421910131
SDSSJ1005+2244,He,0.6,-4.98224
SDSSJ1006+1752,He,0.731,-5.67761032
SDSSJ1014+2827,He,0.6,-5.2150104
SDSSJ1017+3447,He,0.576,-4.862431949
SDSSJ1017+2419,He,0.84,-6.185879334
SDSSJ1019+3535,He,0.6,-5.0371312
SDSSJ1019+2045,He,0.6,-5.006972
SDSSJ1024+4531,He,0.803,-6.112321216
SDSSJ1024+1014,He,0.6,-5.288084
SDSSJ1032+1338,He,0.6,-5.0809904
SDSSJ1033+1809,He,0.743,-5.844234426
SDSSJ1038-0036,He,0.6,-5.0039472
SDSSJ1038+0432,He,0.6,-5.2586272
SDSSJ1040+2407,He,0.686,-5.731160208
SDSSJ1041+3432,He,0.769,-5.800909952
SDSSJ1043+3516,He,0.657,-5.33365496
SDSSJ1046+1329,He,0.507,-4.78231584
SDSSJ1055+3725,He,0.361,-4.112875872
SDSSJ1058+3143,He,0.675,-5.309123888
SDSSJ1102+2827,He,0.6,-5.226144
SDSSJ1102+0214,He,0.658,-5.277712
SDSSJ1103+4144,He,0.327,-3.641686816
SDSSJ1105+0228,He,0.6,-5.0305216
SDSSJ1112+0700,He,0.497,-4.416374275
SDSSJ1132+3323,He,0.6,-5.1700352
SDSSJ1134+1542,He,0.6,-5.001144
SDSSJ1144+3720,He,0.446,-4.27449696
SDSSJ1144+1218,He,0.577,-5.081153248
SDSSJ1147+5429,He,0.6,-5.049
SDSSJ1149+0519,He,0.525,-4.750630432
SDSSJ1150+4928,He,0.694,-5.351264624
SDSSJ1152+5101,He,0.6,-4.833296
SDSSJ1157+6138,He,0.6,-4.8805616
SDSSJ1158+0454,He,0.566,-5.213924
SDSSJ1158+1845,He,0.6,-5.113192
SDSSJ1158+4712,He,0.6,-4.873504
SDSSJ1158+5448,He,0.6,-4.995476
SDSSJ1158+5942,He,0.587,-5.104242317
SDSSJ1205+3536,He,0.684,-5.5522416
SDSSJ1211+2326,He,1.005,-6.96567255
SDSSJ1217+1157,He,0.285,-3.229290202
SDSSJ1218+0023,He,0.776,-5.7976352
SDSSJ1220+0929,He,0.6,-5.0424728
SDSSJ1224+2838,He,0.576,-4.897772032
SDSSJ1229+0743,He,0.204,-2.61752039
SDSSJ1230+3143,He,0.398,-3.958740608
