Name abbreviated,Name,SDSS Name,Type,Mass,log(q),log(Al/He),error log(Al/He),log(Ti/He),error log(Ti/He),log(Ca/He),error log(Ca/He),log(Ni/He),error log(Ni/He),log(Fe/He),error log(Fe/He),log(Cr/He),error log(Cr/He),log(Mg/He),error log(Mg/He),log(Si/He),error log(Si/He),log(Na/He),error log(Na/He),log(O/He),error log(O/He),log(C/He),error log(C/He),log(N/He),error log(N/He)
J1411+3410,J141140.27+341039.4,SDSSJ1411+3410,He,0.6,-5.64,0,0,0,0,-8.3,0.4,0,0,-7.1,0.5,-9.05,0.25377411,-6.6,0.2,0,0,-9.18,0.238539931,0,0,0,0,0,0
J1421+1843,J142120.11+184351.6,SDSSJ1421+1843,He,0.6,-5.43,0,0,0,0,-8.5,0.1,0,0,-7.3,0.2,0,0,-6.7,0.1,0,0,0,0,0,0,0,0,0,0
J1428+4403,J142833.78+440346.2,SDSSJ1428+4403,He,0.6,-5.31,0,0,0,0,-9.5,0.1,0,0,-8.9,0.2,0,0,-7.9,0.1,0,0,0,0,0,0,0,0,0,0
J1429+3841,J142939.38+384113.2,SDSSJ1429+3841,He,0.6,-5.31,0,0,0,0,-10.3,0.2,0,0,-9.2,0.5,0,0,-9.1,0.5,0,0,0,0,0,0,0,0,0,0
J1430-0151,J143007.15-015129.5,SDSSJ1430-0151,He,0.6,-5.64,0,0,-8.85,0.180311911,-7.6,0.1,0,0,-6.4,0.1,-8.55,0.180311911,-6,0.1,0,0,-8.18,0.158153044,0,0,0,0,0,0
J1443+5833,J144301.55+583301.6,SDSSJ1443+5833,He,0.6,-5.28,0,0,0,0,-8.5,0.2,0,0,-7.3,0.2,0,0,-7.1,0.1,0,0,0,0,0,0,0,0,0,0
J1443+3014,J144354.13+301413.3,SDSSJ1443+3014,He,0.6,-5.38,0,0,0,0,-8.1,0.3,0,0,-7.1,0.2,0,0,-6.5,0.2,0,0,0,0,0,0,0,0,0,0
J1445+0913,J144535.03+091340.4,SDSSJ1445+0913,He,0.6,-5.46,0,0,0,0,-7.7,0.2,0,0,-6.6,0.2,-8.3,0.235489943,-6.2,0.1,0,0,-7.53,0.218987473,0,0,0,0,0,0
J1448+1047,J144804.49+104709.1,SDSSJ1448+1047,He,0.6,-5.34,0,0,0,0,-9.1,0.2,0,0,-7.8,0.2,0,0,-7.5,0.1,0,0,0,0,0,0,0,0,0,0
J1500+2315,J150028.02+231554.0,SDSSJ1500+2315,He,0.6,-5.41,0,0,0,0,-8.2,0.4,0,0,-7,0.4,0,0,-6.6,0.2,0,0,0,0,0,0,0,0,0,0
J1502+3744,J150228.71+374452.9,SDSSJ1502+3744,He,0.6,-5.36,0,0,0,0,-10.1,0.2,0,0,-8.9,0.5,0,0,-8.8,0.5,0,0,0,0,0,0,0,0,0,0
J1507+4034,J150739.03+403408.9,SDSSJ1507+4034,He,0.6,-5.31,0,0,0,0,-8,0.2,0,0,-6.8,0.2,0,0,-6.3,0.1,0,0,0,0,0,0,0,0,0,0
J1518+0506,J151835.63+050627.5,SDSSJ1518+0506,He,0.6,-5.47,0,0,0,0,-9.3,0.2,0,0,-8.7,0.3,0,0,-8.3,0.3,0,0,-9.68,0.12443091,0,0,0,0,0,0
J1524+4049,J152449.58+404938.1,SDSSJ1524+4049,He,0.6,-5.47,0,0,0,0,-8.4,0.1,0,0,-7.5,0.2,-9.15,0.148735641,-7.1,0.1,0,0,-8.68,0.120922665,0,0,0,0,0,0
J1534+1242,J153407.58+124254.4,SDSSJ1534+1242,He,0.6,-5.58,0,0,0,0,-7.9,0.3,0,0,-6.7,0.3,0,0,-6.9,0.2,0,0,0,0,0,0,0,0,0,0
J1535+1247,J153505.75+124744.2,SDSSJ1535+1247,He,0.6,-5.54,0,0,-9.61,0.102267511,-8.6,0.1,-8.89,0.102267511,-7.5,0.1,-9.24,0.102267511,-7,0.1,0,0,-8.71,0.054393417,0,0,0,0,0,0
J1537+3608,J153745.52+360818.6,SDSSJ1537+3608,He,0.6,-5.42,0,0,0,0,-9.8,0.3,0,0,-8.6,0.5,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0
J1540+5352,J154022.80+535239.8,SDSSJ1540+5352,He,0.6,-5.38,0,0,0,0,-8.7,0.3,0,0,-7.5,0.3,0,0,-6.8,0.1,0,0,0,0,0,0,0,0,0,0
J1542+4650,J154201.75+465020.2,SDSSJ1542+4650,He,0.6,-5.56,0,0,0,0,-8.1,0.2,0,0,-6.9,0.1,-8.65,0.24096008,-6.5,0.1,0,0,-8.13,0.224859423,0,0,0,0,0,0
J1543+2024,J154349.79+202442.9,SDSSJ1543+2024,He,0.6,-5.5,0,0,0,0,-8.7,0.2,0,0,-7.6,0.4,0,0,-7.1,0.2,0,0,0,0,0,0,0,0,0,0
J1545+5236,J154510.31+523618.4,SDSSJ1545+5236,He,0.6,-5.43,0,0,0,0,-8.9,0.1,0,0,-8,0.2,0,0,-7.5,0.1,0,0,0,0,0,0,0,0,0,0
J1549+2633,J154913.46+263301.1,SDSSJ1549+2633,He,0.6,-5.28,0,0,0,0,-9.6,0.2,0,0,-8,0.2,0,0,-7.9,0.1,0,0,0,0,0,0,0,0,0,0
J1549+1906,J154933.23+190646.7,SDSSJ1549+1906,He,0.6,-5.41,0,0,0,0,-8.7,0.2,0,0,-7.3,0.3,-9,0.289907248,-7,0.1,0,0,-9.33,0.276669862,0,0,0,0,0,0
J1554+1735,J155429.01+173545.9,SDSSJ1554+1735,He,0.6,-5.36,0,0,0,0,-8.4,0.1,0,0,-7.6,0.1,0,0,-7.1,0.1,0,0,-8.7,0.064811613,0,0,0,0,0,0
J1604+1830,J160429.80+183035.4,SDSSJ1604+1830,He,0.6,-5.28,0,0,0,0,-9.6,0.1,0,0,-8.5,0.3,0,0,-8.4,0.2,0,0,0,0,0,0,0,0,0,0
J1610+4006,J161026.10+400619.7,SDSSJ1610+4006,He,0.6,-5.39,0,0,0,0,-8.7,0.3,0,0,-7.2,0.2,0,0,-7.3,0.1,0,0,0,0,0,0,0,0,0,0
J1612+3534,J161248.17+353434.8,SDSSJ1612+3534,He,0.6,-5.34,0,0,0,0,-8.5,0.5,0,0,-7.3,0.5,0,0,-7.3,0.3,0,0,0,0,0,0,0,0,0,0
J1616+3303,J161603.00+330301.2,SDSSJ1616+3303,He,0.6,-5.46,0,0,-9.57,0.119139106,-8.2,0.1,0,0,-7.1,0.2,-8.75,0.119139106,-6.7,0.1,0,0,-8.88,0.081817642,0,0,0,0,0,0
J1624+3310,J162408.57+331019.0,SDSSJ1624+3310,He,0.6,-5.29,0,0,0,0,-9.2,0.3,0,0,-8,0.4,0,0,-7.2,0.1,0,0,0,0,0,0,0,0,0,0
J1626+3303,J162612.73+330308.2,SDSSJ1626+3303,He,0.6,-5.4,0,0,-8.77,0.261301019,-8.6,0.2,0,0,-7.5,0.3,0,0,-7.1,0.1,0,0,0,0,0,0,0,0,0,0
J1627+4646,J162703.34+464658.2,SDSSJ1627+4646,He,0.6,-5.36,0,0,0,0,-9.4,0.5,0,0,-8.3,0.5,-9.25,0.21524505,-7.9,0.3,0,0,0,0,0,0,0,0,0,0
J1636+1619,J163601.33+161907.1,SDSSJ1636+1619,He,0.6,-5.56,0,0,0,0,-9.5,0.1,0,0,-8.3,0,0,0,-8.3,0,0,0,-10.18,0.20290384,0,0,0,0,0,0
J1641+1856,J164104.95+185602.1,SDSSJ1641+1856,He,0.6,-5.27,0,0,0,0,-10.4,0.2,0,0,-9.9,0.3,0,0,-9.2,0.5,0,0,0,0,0,0,0,0,0,0
J1649+2238,J164939.23+223807.2,SDSSJ1649+2238,He,0.6,-5.62,0,0,0,0,-8.4,0.2,0,0,-7.4,0.2,-8.61,0.199665853,-6.7,0.2,0,0,-8.07,0.179906789,0,0,0,0,0,0
J1706+2541,J170638.11+254111.7,SDSSJ1706+2541,He,0.6,-5.25,0,0,0,0,-10.1,0.3,0,0,-9,0.5,0,0,-8.9,0.5,0,0,0,0,0,0,0,0,0,0
J2109-0039,J210916.51-003921.6,SDSSJ2109-0039,He,0.6,-5.46,0,0,0,0,-8.8,0.5,0,0,-7.6,0.4,0,0,-7.7,0.4,0,0,0,0,0,0,0,0,0,0
J2110+0512,J211045.34+051214.8,SDSSJ2110+0512,He,0.6,-5.45,0,0,0,0,-9.4,0.5,0,0,-8.3,0.5,0,0,-7.7,0.5,0,0,0,0,0,0,0,0,0,0
J2123+0016,J212312.20+001653.5,SDSSJ2123+0016,He,0.6,-5.38,0,0,0,0,-9.6,0.2,0,0,-8.4,0.4,0,0,-8.3,0.5,0,0,-8.78,0.162596974,0,0,0,0,0,0
J2157+1206,J215752.30+120603.1,SDSSJ2157+1206,He,0.6,-5.41,0,0,0,0,-9.1,0.1,0,0,-8.1,0.1,0,0,-7.6,0.1,0,0,-9.28,0.097182995,0,0,0,0,0,0
J2225+2338,J222503.71+233855.1,SDSSJ2225+2338,He,0.6,-5.26,0,0,0,0,-9.3,0.1,0,0,-8.4,0.1,0,0,-7.7,0.1,0,0,0,0,0,0,0,0,0,0
J2230+1905,J223014.70+190514.4,SDSSJ2230+1905,He,0.6,-5.61,0,0,0,0,-8.5,0.3,0,0,-7.1,0.2,-8.95,0.287138842,-6.8,0.2,0,0,-8.78,0.273767628,0,0,0,0,0,0
J2231+0906,J223101.12+090635.1,SDSSJ2231+0906,He,0.6,-5.31,0,0,0,0,-9.9,0.1,0,0,-9,0.2,0,0,-8.1,0.5,0,0,0,0,0,0,0,0,0,0
J2235-0056,J223507.65-005607.7,SDSSJ2235-0056,He,0.6,-5.41,0,0,0,0,-8.4,0.2,0,0,-7.2,0.2,0,0,-7.1,0.1,0,0,-8.58,0.196771629,0,0,0,0,0,0
J2238+0213,J223811.10+021352.9,SDSSJ2238+0213,He,0.6,-5.29,0,0,0,0,-8.6,0.2,0,0,-7.5,0.2,0,0,-7.4,0.2,0,0,0,0,0,0,0,0,0,0
J2238-0113,J223815.97-011336.9,SDSSJ2238-0113,He,0.6,-5.28,0,0,0,0,-9.4,0.2,0,0,-8,0.2,0,0,-7.6,0.2,0,0,0,0,0,0,0,0,0,0
J2304+2415,J230414.49+241554.0,SDSSJ2304+2415,He,0.6,-5.48,0,0,0,0,-9.2,0.2,0,0,-8.9,0.2,0,0,-7.3,0.2,0,0,0,0,0,0,0,0,0,0
J2319+3018,J231937.39+301848.4,SDSSJ2319+3018,He,0.6,-5.27,0,0,0,0,-8.5,0.3,0,0,-7.3,0.3,0,0,-7.2,0.3,0,0,-7.68,0.174328456,0,0,0,0,0,0
J2328+0830,J232833.31+083028.4,SDSSJ2328+0830,He,0.6,-5.5,0,0,0,0,-9,0.3,0,0,-7.8,0.4,0,0,-7.3,0.1,0,0,0,0,0,0,0,0,0,0
J2330+2805,J233054.31+280517.4,SDSSJ2330+2805,He,0.6,-5.32,0,0,0,0,-9.3,0.2,0,0,-8.1,0.4,0,0,-7.5,0.2,0,0,0,0,0,0,0,0,0,0
J2333+1058,J233320.38+105830.2,SDSSJ2333+1058,He,0.6,-5.42,0,0,0,0,-8.7,0.3,0,0,-7.6,0.4,0,0,-7,0.2,0,0,-8.58,0.30244085,0,0,0,0,0,0
J2340+0124,J234034.61+012416.6,SDSSJ2340+0124,He,0.6,-5.47,0,0,0,0,-8.8,0.1,0,0,-8,0.2,0,0,-7.2,0.1,0,0,0,0,0,0,0,0,0,0
J2340+0817,J234048.74+081753.3,SDSSJ2340+0817,He,0.6,-5.51,0,0,0,0,-8.7,0.2,0,0,-7.2,0.3,0,0,-7.4,0.3,0,0,0,0,0,0,0,0,0,0
J2343-0010,J234307.67-001016.3,SDSSJ2343-0010,He,0.6,-5.41,0,0,0,0,-9.6,0.3,0,0,-8.5,0.5,0,0,-7.9,0.3,0,0,0,0,0,0,0,0,0,0
J2352+1922,J235224.26+192247.3,SDSSJ2352+1922,He,0.6,-5.5,0,0,0,0,-8.3,0.2,0,0,-7.2,0.3,0,0,-6.8,0.1,0,0,0,0,0,0,0,0,0,0
J2352+3344,J235249.13+334439.2,SDSSJ2352+3344,He,0.6,-5.29,0,0,0,0,-8.3,0.2,0,0,-7.1,0.3,0,0,-6.9,0.2,0,0,-8.38,0.192905041,0,0,0,0,0,0
J2357+2348,J235715.03+234848.9,SDSSJ2357+2348,He,0.6,-5.41,0,0,0,0,-9.2,0.1,0,0,-7.8,0.3,0,0,-7.3,0.1,0,0,0,0,0,0,0,0,0,0
J1814-7355,GaiaJ1814-7355,GaiaJ1814-7355,H,0.58,-10.165,0,0,0,0,-7.22,0.15,0,0,-6.06,0.19,0,0,-6.14,0.08,0,0,0,0,0,0,0,0,0,0
