Name abbreviated,Name,SDSS Name,Type,Mass,log(q),log(Al/He),error log(Al/He),log(Ti/He),error log(Ti/He),log(Ca/He),error log(Ca/He),log(Ni/He),error log(Ni/He),log(Fe/He),error log(Fe/He),log(Cr/He),error log(Cr/He),log(Mg/He),error log(Mg/He),log(Si/He),error log(Si/He),log(Na/He),error log(Na/He),log(O/He),error log(O/He),log(C/He),error log(C/He),log(N/He),error log(N/He)
J0937+5228,J093719.14+522802.4,SDSSJ0937+5228,He,0.6,-5.39,0,0,0,0,-8.4,0.1,0,0,-7.4,0.2,-9.25,0.125877511,-6.9,0.1,0,0,-8.98,0.09135178,0,0,0,0,0,0
J0939+4136,J093916.04+413612.9,SDSSJ0939+4136,He,0.6,-5.48,0,0,0,0,-8.1,0.2,0,0,-6.6,0.2,-8.35,0.200504435,-6.8,0.2,0,0,-8.38,0.180837021,0,0,0,0,0,0
J0939+5019,J093944.58+501917.6,SDSSJ0939+5019,He,0.6,-5.56,0,0,0,0,-8.4,0.2,0,0,-7,0.2,-8.85,0.211699861,-6.7,0.2,0,0,-9.38,0.193175649,0,0,0,0,0,0
J0946+2024,J094648.94+202423.2,SDSSJ0946+2024,He,0.6,-5.27,0,0,0,0,-8,0.2,0,0,-6.9,0.2,0,0,-6.5,0.2,0,0,0,0,0,0,0,0,0,0
J0948+3008,J094813.74+300851.2,SDSSJ0948+3008,He,0.6,-5.4,0,0,0,0,-9.1,0.2,0,0,-8.1,0.2,0,0,-7.9,0.2,0,0,0,0,0,0,0,0,0,0
J0956+5912,J095645.15+591240.6,SDSSJ0956+5912,He,0.6,-5.3,0,0,0,0,-7.1,0.1,0,0,-6.2,0.1,-7.45,0.122102526,-5.2,0.1,0,0,-6.55,0.086075704,0,0,0,0,0,0
J1005+2244,J100537.43+224403.1,SDSSJ1005+2244,He,0.6,-5.36,0,0,0,0,-9.1,0.4,0,0,-7.8,0.5,0,0,-7.9,0.5,0,0,0,0,0,0,0,0,0,0
J1006+1752,J100609.16+175221.3,SDSSJ1006+1752,He,0.6,-5.4,0,0,0,0,-9.5,0.5,0,0,-8.3,0.5,0,0,-8.3,0.5,0,0,0,0,0,0,0,0,0,0
J1014+2827,J101451.15+282701.6,SDSSJ1014+2827,He,0.6,-5.59,0,0,-9.27,0.337453714,-7.9,0.3,0,0,-6.5,0.3,-8.65,0.337453714,-6.4,0.2,0,0,-8.08,0.326151819,0,0,0,0,0,0
J1017+3447,J101711.54+344710.5,SDSSJ1017+3447,He,0.6,-5.35,0,0,0,0,-9.8,0.5,0,0,-8.6,0.5,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0
J1017+2419,J101750.24+241911.6,SDSSJ1017+2419,He,0.6,-5.32,0,0,0,0,-8.4,0.2,0,0,-7.3,0.2,0,0,-6.7,0.2,0,0,-8.48,0.132191709,0,0,0,0,0,0
J1019+3535,J101924.73+353527.6,SDSSJ1019+3535,He,0.6,-5.51,0,0,0,0,-8.8,0.4,0,0,-7.9,0.4,0,0,-7,0.4,0,0,0,0,0,0,0,0,0,0
J1019+2045,J101959.51+204553.4,SDSSJ1019+2045,He,0.6,-5.48,0,0,0,0,-9.4,0.4,0,0,-8.2,0.5,0,0,-8.2,0.5,0,0,0,0,0,0,0,0,0,0
J1024+4531,J102414.83+453109.9,SDSSJ1024+4531,He,0.6,-5.45,0,0,0,0,-8.4,0.2,0,0,-7.6,0.2,0,0,-7.3,0.2,0,0,0,0,0,0,0,0,0,0
J1024+1014,J102438.05+101410.5,SDSSJ1024+1014,He,0.6,-5.61,0,0,-8.72,0.286592783,-7.7,0.3,0,0,-6.6,0.3,-8.6,0.286592783,-6.1,0.3,0,0,-8.83,0.273194844,0,0,0,0,0,0
J1032+1338,J103205.15+133833.4,SDSSJ1032+1338,He,0.6,-5.46,0,0,0,0,-9.1,0.3,0,0,-8.1,0.3,0,0,-7.3,0.3,0,0,-8.78,0.274920809,0,0,0,0,0,0
J1033+1809,J103352.89+180935.3,SDSSJ1033+1809,He,0.6,-5.49,0,0,0,0,-8.6,0.3,0,0,-7.6,0.3,0,0,-7.7,0.3,0,0,0,0,0,0,0,0,0,0
J1038-0036,J103809.19-003622.5,SDSSJ1038-0036,He,0.6,-5.28,0,0,-9.15,0.102911616,-7.4,0.1,0,0,-6.9,0.1,0,0,-6.3,0.1,0,0,-8.15,0.055594971,0,0,0,0,0,0
J1038+0432,J103839.01+043223.8,SDSSJ1038+0432,He,0.6,-5.56,0,0,0,0,-7.6,0.3,0,0,-7,0.2,-8.8,0.180161151,-6.6,0.2,0,0,-9.23,0.15798114,0,0,0,0,0,0
J1040+2407,J104046.48+240759.5,SDSSJ1040+2407,He,0.6,-5.62,0,0,-9.17,0.132558295,-8.1,0.2,0,0,-7.2,0.2,-9.25,0.132558295,-6.8,0.1,0,0,-8.78,0.100357867,0,0,0,0,0,0
J1041+3432,J104130.65+343240.7,SDSSJ1041+3432,He,0.6,-5.25,0,0,0,0,-8,0.2,0,0,-6.8,0.2,0,0,-6.8,0.2,0,0,0,0,0,0,0,0,0,0
J1043+3516,J104319.84+351641.6,SDSSJ1043+3516,He,0.6,-5.3,0,0,-10.96,0.144984157,-9.3,0.1,-8.97,0.144984157,-7.6,0.1,-9.34,0.144984157,-7.5,0.1,0,0,0,0,0,0,0,0,0,0
J1046+1329,J104658.12+132911.3,SDSSJ1046+1329,He,0.6,-5.45,0,0,0,0,-9.3,0.3,0,0,-8.2,0.5,0,0,-8.1,0.5,0,0,0,0,0,0,0,0,0,0
J1055+3725,J105533.73+372542.7,SDSSJ1055+3725,He,0.6,-5.65,0,0,0,0,-8.4,0.3,0,0,-8.2,0.5,-9.35,0.160939912,-8.2,0.2,0,0,0,0,0,0,0,0,0,0
J1058+3143,J105826.60+314358.3,SDSSJ1058+3143,He,0.6,-5.26,0,0,0,0,-9,0.1,0,0,-7.7,0.2,0,0,-7.4,0.2,0,0,0,0,0,0,0,0,0,0
J1102+2827,J110216.09+282730.7,SDSSJ1102+2827,He,0.6,-5.54,0,0,0,0,-7.8,0.4,0,0,-6.7,0.4,-8.35,0.377373703,-6.2,0.2,0,0,-7.78,0.367302208,0,0,0,0,0,0
