,Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_component,binary,binary_separation,time_since_acc_ended,origin,comment,log(H/H(e)),log(H/H(e))e,log(He/H(e)),log(He/H(e))e,log(Li/H(e)),log(Li/H(e))e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,log(Be/H(e)),log(Be/H(e))e,Acc_rate_Be_steady_state,Sinking_time_Be,log(C/H(e)),log(C/H(e))e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,log(N/H(e)),log(N/H(e))e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,log(O/H(e)),log(O/H(e))e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,log(Na/H(e)),log(Na/H(e))e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,log(Mg/H(e)),log(Mg/H(e))e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,log(Al/H(e)),log(Al/H(e))e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,log(Si/H(e)),log(Si/H(e))e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,log(P/H(e)),log(P/H(e))e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,log(S/H(e)),log(S/H(e))e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,log(Cl/H(e)),log(Cl/H(e))e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,log(Ar/H(e)),log(Ar/H(e))e,log(K/H(e)),log(K/H(e))e,Acc_rate_K_steady_state,Sinking_time_K,log(Ca/H(e)),log(Ca/H(e))e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,log(Sc/H(e)),log(Sc/H(e))e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,log(Ti/H(e)),log(Ti/H(e))e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,log(V/H(e)),log(V/H(e))e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,log(Cr/H(e)),log(Cr/H(e))e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,log(Mn/H(e)),log(Mn/H(e))e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,log(Fe/H(e)),log(Fe/H(e))e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,log(Co/H(e)),log(Co/H(e))e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,log(Ni/H(e)),log(Ni/H(e))e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,log(Cu/H(e)),log(Cu/H(e))e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,log(Zn/H(e)),log(Zn/H(e))e,Acc_rate_Zn_steady_state,Sinking_time_Zn,log(Ga/H(e)),log(Ga/H(e))e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,log(Ge/H(e)),log(Ge/H(e))e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,log(As/H(e)),log(As/H(e))e,log(Se/H(e)),log(Se/H(e))e,log(Sr/H(e)),log(Sr/H(e))e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,log(Sn/H(e)),log(Sn/H(e))e,log(I/H(e)),log(I/H(e))e,log(Ba/H(e)),log(Ba/H(e))e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing,total_detections,total_upper_limits,Number of detected elements with error,Number of modellable detected elements with error
0,GALEX J1931+0117,Vennes 2010,GALEX J1931+0117 Vennes 2010,20890,120,7.9,0.06,H,0.57,0.03,292.9872151,1.295585307,Gaia DR3 4287654959563143168,18.7782,0.0359,,10000,-1,disc,,,,,https://ui.adsabs.harvard.edu/abs/2010MNRAS.404L..40V/abstract,infrared excess from Koester 2014,,,-3.3,-1,,,,,,,,,,-4.2,-1,,,,,,,,,-3.62,0.04,,,,,,,,,,,,,-4.15,0.02,,,,,,,,,,,,,-4.19,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.53,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,5
1,WD1929+012,Koester 2014,WD1929+012 Koester 2014,21457,291,7.9,0.089,H,0.573,0.047,292.9872151,1.295585307,Gaia DR3 4287654959563143168,18.77820755,0.035863463,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2014A%26A...566A..34K/abstract,,,,,,,,,,,,,,,-6.8,0.15,707945.7844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.75,0.15,107151930.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2
2,Gaia DR3 3952478391839564928,Blouin 2022,Gaia DR3 3952478391839564928 Blouin 2022,6025,25,8.032,0.015,H,0.607,0.009,41.6283388,-2.456516962,Gaia DR3 2495751967528809216,,,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.1059B/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.59,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398107170.6,,,1,0,1,1
3,HE1315-1105,Koester 2006,HE1315-1105 Koester 2006,9400,,8.4,,H,0.857,,206.8515401,10.36055922,Gaia DR3 3623233040812235904,48.05968617,0.03251016,4.00E+22,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2006A%26A...453.1051K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4,,,,,3304486387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136727.352,,,1,0,0,0
4,NLTT06390,Kawka & Vennes 2011,NLTT06390 Kawka & Vennes 2011,6190,,8.39,,H,,,28.52224805,-30.57563089,Gaia DR3 5019183689315007872,23.25501967,0.07012891,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2011AIPC.1331..238K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
5,WD0243-026,Kawka & Vennes 2011,WD0243-026 Kawka & Vennes 2011,6830,,8.29,,H,,,41.6283388,-2.456516962,Gaia DR3 2495751967528809216,46.5741597,0.04863914,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2011AIPC.1331..238K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
6,G197-47,Zuckerman 1998,G197-47 Zuckerman 1998,6222,,,,H,,,182.8719719,57.40478953,Gaia DR3 1575357587146077056,50.0779,0.028,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/1998ApJ...505L.143Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
7,G63-54,Zuckerman 1998,G63-54 Zuckerman 1998,7300,,,,H,,,206.8515401,10.36055922,Gaia DR3 3725570772761744384,48.0597,0.0325,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/1998ApJ...505L.143Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
8,G180-63,Zuckerman 1998,G180-63 Zuckerman 1998,7000,,,,H,,,248.7559549,43.29342977,Gaia DR3 1405343643196929536,68.9912,0.0161,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/1998ApJ...505L.143Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
9,G174-7,Zuckerman 1998,G174-7 Zuckerman 1998,5200,,,,H,,,39.96965943,57.33166827,Gaia DR2 457853035704873216,21.1317,0.0149,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/1998ApJ...505L.143Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
10,WD0243-026,Zuckerman 2003,WD0243-026 Zuckerman 2003,6798,,8.15,,H,,,41.6283388,-2.456516962,Gaia DR3 2495751967528809216,46.5741597,0.04863914,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.898,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
11,WD0245+541,Zuckerman 2003,WD0245+541 Zuckerman 2003,5190,,8.22,,H,,,42.15178801,54.3895735,Gaia DR3 453562088496088320,92.03619894,0.03017235,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.694,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
12,WD0245+541,Zuckerman 2003,WD0245+541 Zuckerman 2003,5190,,8.22,,H,,,42.15178801,54.3895735,Gaia DR3 453562088496088320,92.03619894,0.03017235,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.694,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
13,WD1208+576,Zuckerman 2003,WD1208+576 Zuckerman 2003,5830,,7.91,,H,,,182.8719719,57.40478953,Gaia DR3 1575357587146077056,50.07790021,0.027994908,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.958,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
14,WD1344+106,Zuckerman 2003,WD1344+106 Zuckerman 2003,6945,,7.99,,H,,,206.8515401,10.36055922,Gaia DR3 3725570772761744384,48.05968617,0.03251016,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
15,WD1344+106,Zuckerman 2003,WD1344+106 Zuckerman 2003,6945,,7.99,,H,,,206.8515401,10.36055922,Gaia DR3 3725570772761744384,48.05968617,0.03251016,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
16,WD1633+433,Zuckerman 2003,WD1633+433 Zuckerman 2003,6569,,8.08,,H,,,248.7559549,43.29342977,Gaia DR3 1405343643196929536,68.99119608,0.016140647,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.55,0,,,,,,-8.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
17,WD1633+433,Zuckerman 2003,WD1633+433 Zuckerman 2003,6569,,8.08,,H,,,248.7559549,43.29342977,Gaia DR3 1405343643196929536,68.99119608,0.016140647,,10000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.55,0,,,,,,-8.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
18,NLTT 11393,Kawka 2012,NLTT 11393 Kawka 2012,5890,30,7.86,0.06,H,0.51,0.03,54.14203545,-22.25668993,Gaia DR3 5088251195844051328,26.0006,0.0695,,16000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2012A%26A...538A..13K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,-1,2290867.653,,,,,-9.4,-1,575439.9373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.24,0.04,151356.1248,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4,-1,2041737.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1
19,NLTT 888,Kawka & Vennes 2014,NLTT 888 Kawka & Vennes 2014,5570,40,7.72,0.08,H,0.45,0.03,4.40720393,-5.279485721,Gaia DR3 2443826805441462656,21.4723,0.0982,,40000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2014MNRAS.439L..90K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.01,0.07,,,,,,,,,,,,,-8.9,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.77,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2
20,NLTT 19868,Kawka 2016,NLTT 19868 Kawka 2016,5220,90,7.9,0.22,H,0.52,0.13,129.0069847,-10.10206952,Gaia DR3 5748802661860766208,29.0217,0.0867,1.00E+28,40000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.458..325K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,0.3,,,,,,-8.63,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.93,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,4
21,NLTT 6390,Kawka 2012,NLTT 6390 Kawka 2012,6040,40,7.9,0.07,H,0.53,0.04,28.52224805,-30.57563089,Gaia DR3 5019183689315007872,23.255,0.0701,,40000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2012A%26A...538A..13K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.66,0.2,2884031.503,,,,0.905212604,-9.2,-1,1047128.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,0.04,301995.172,,,,0.09478739597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.57,-1,15848931.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2
22,NLTT 1675,Kawka 2012,NLTT 1675 Kawka 2012,6020,50,8.04,0.07,H,0.61,0.04,7.853784775,22.30653644,Gaia DR3 2799809779202757376,19.7035,0.0951,,40000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2012A%26A...538A..13K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.56,0.12,3890451.45,,,,0.1891343043,-9.28,0.17,933254.3008,,,,0.04537015953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.53,0.03,954992.586,,,,0.04642696631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.63,0.13,14791083.88,,,,0.7190685698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,4
23,NLTT 01675,Kawka & Vennes 2014,NLTT 01675 Kawka & Vennes 2014,6020,50,8.04,0.07,H,,,7.853784775,22.30653644,Gaia DR3 2799809779202757376,19.7035,0.0951,,40000,-1,,,,,,https://ui.adsabs.harvard.edu/abs/2014MNRAS.439L..90K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.53,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
24,WD2105-820,Swan 2019,WD2105-820 Swan 2019,10890,380,8.41,0.08,H,0.86,,318.3202289,-81.82024397,Gaia DR3 6348672845649310464,61.8087,0.0153,1.08E+21,43000,,,,,,,https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..202S/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,0.2,,,,,,,,,,,,,-5.5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,0.1,,,,125633068.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630957344.5,,,3,1,3,3
25,WD2105-820,Kawka & Vennes 2011,WD2105-820 Kawka & Vennes 2011,10280,,8.01,,H,,,318.3202289,-81.82024397,Gaia DR3 6348672845649310464,61.8086625,0.015287907,,43000,,,,,,,https://ui.adsabs.harvard.edu/abs/2011AIPC.1331..238K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
26,J1654+3829,Caron 2023,J1654+3829 Caron 2023,5907,14,8.204,0.005,H,0.701,0.004,253.6903858,38.49350788,Gaia DR3 1351956512512484480,36.6359048,0.04196449,,70000,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
27,NLTT 43806,Zuckerman 2011,NLTT 43806 Zuckerman 2011,5900,,8,,H,,,253.6903858,38.49350788,Gaia DR3 1351956512512484480,36.6359,0.042,,70000,,,,,,,https://ui.adsabs.harvard.edu/abs/2011ApJ...739..101Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.1,0.14,8912509.381,,,644323493627,0.02276906541,-7.1,0.13,100000000,,,601317671532,0.2554731157,-7.6,0.17,39810717.06,,,535924938869,0.1017056793,-7.2,0.14,109647819.6,,,500154254104,0.2801207011,,,,,,,,,,,,,,,,,,,,,,-7.9,0.19,36307805.48,,,435616144686,0.09275668191,,,,,,-9.55,0.14,1202264.435,,,354082095735,0.003071462411,,,,,,-9.55,0.22,1412537.545,,,330448638680,0.003608653676,,,,,,,,-7.8,0.17,89125093.81,,,315576000000,0.2276906541,,,,,,-9.1,0.17,5011872.336,,,294512659228,0.01280398641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602559586.1,,,9,0,9,9
28,PM J08186-?3110 FORS,Kawka 2021,PM J08186-?3110 FORS Kawka 2021,6250,,8.25,,He,0.72,,124.6677532,-31.17231311,Gaia DR3 5548080118369905408,51.6508,0.024,,92000,1000,,,,,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.2732K/abstract,,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4,0,,,,,,-7.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.15,0,,,,,,,,,,,,,,,,,,,,,,,-10,0,,,,,,-10.2,0,,,,,,-8.2,0,,,,,,,,,,,-9.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0
29,PM J08186-?3110 X-shooter,Kawka 2021,PM J08186-?3110 X-shooter Kawka 2021,6250,,8.25,,He,0.72,,124.6677532,-31.17231311,Gaia DR3 5548080118369905408,51.6508,0.024,,92000,1000,,,,,,https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.2732K/abstract,,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1,0,,,,,,-7.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,0,,,,,,,,,,,,,,,,,,,,,,,-9.7,0,,,,,,-9.9,0,,,,,,-7.9,0,,,,,,,,,,,-9.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0
30,WD J1935-3252,O'Brien 2023,WD J1935-3252 O'Brien 2023,5430,10,8,0.01,H,,,293.9109776,-32.873765,Gaia DR3 6744843579679059968,29.3,0.1,,100000,10000,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.89,0.03,,,,,,-9.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.68,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.61,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,4
31,J0325-0149,Caron 2023,J0325-0149 Caron 2023,5185,17,8.037,0.007,H,0.592,0.006,51.2960312,-1.820846401,Gaia DR3 3261591090771914240,59.06632711,0.057836663,,120000,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
32,G77-50,Farihi 2011,G77-50 Farihi 2011,5310,100,8.05,0.01,H,0.6,0.01,51.2960312,-1.820846401,Gaia DR3 3261591090771914240,59.0663,0.0578,1.23E+27,120000,,,,,,,https://ui.adsabs.harvard.edu/abs/2011MNRAS.413.2559F/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1,0.2,,,,,,-8.3,0.2,,,,,,-9.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.8,0.2,,,,,,,,,,,,,,,,,,,,,,,-9.9,0.2,,,,,,-10.3,0.2,,,,,,-8.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000000,,,7,0,7,6
