Name,Type,Mass,error Mass (not used),Teff,error Teff (not used),log(g),error log(g) (not used),log(q),log(Al/Hx),error log(Al/Hx),log(Ti/Hx),error log(Ti/Hx),log(Ca/Hx),error log(Ca/Hx),log(Ni/Hx),error log(Ni/Hx),log(Fe/Hx),error log(Fe/Hx),log(Cr/Hx),error log(Cr/Hx),log(Mg/Hx),error log(Mg/Hx),log(Si/Hx),error log(Si/Hx),log(Na/Hx),error log(Na/Hx),log(O/Hx),error log(O/Hx),log(C/Hx),error log(C/Hx),log(N/Hx),error log(N/Hx),t_Al,t_Ti,t_Ca,t_Ni,t_Fe,t_Cr,t_Mg,t_Si,t_Na,t_O,t_C,t_N
IdealHPMantle3,He,0.6,,5843,,8,,0,-5.687480237,0.05,-7.258718991,0.05,-5.856887816,0.05,-7.663759071,0.05,-6.282163116,0.05,-7.419688519,0.05,-4.685161758,0.05,-5.022822375,0.05,-6.593180638,0.05,-4.222965747,0.05,-10.53893166,0.05,-8.235382338,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMantle4,He,0.6,,5843,,8,,0,-5.717480237,0.05,-7.258718991,0.05,-5.856887816,0.05,-6.963759071,0.05,-5.582163116,0.05,-6.839688519,0.05,-4.685161758,0.05,-4.942822375,0.05,-6.593180638,0.05,-4.222965747,0.05,-10.53893166,0.05,-8.235382338,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMantle5,He,0.6,,5843,,8,,0,-5.72,0.05,-7.26,0.05,-5.86,0.05,-6.96,0.05,-5.58,0.05,-6.94,0.05,-4.69,0.05,-4.94,0.05,-6.59,0.05,-4.22,0.05,-10.54,0.05,-8.24,0.05,0,0,0,0,0,0,0,0,0,0,0,0
WD0449-259NoNa,He,0.58,,10120,,8.04,,-5.2,,,-10.7,0.2,-9.1,0.1,-8.4,0.2,-7.9,0.2,,,-8.3,0.4,<-7.3,,,,<-6.6,,,,,,3535091.343,2253657.942,2795683.479,2013983.926,2047082.568,2136623.496,3934726.588,3610034.564,3878484.677,5320494.517,6410158.97,5797951.258
WD1350-162NoNa,He,0.6,,9850,,8.02,,-5.2,,,-10,0.1,-8.7,0.1,,,-7.1,0.1,-9,0.2,-6.8,0.1,-7.3,0.2,,,-6.2,0.1,,,,,3796980.791,2417544.072,2996257.954,2158269.135,2191101.015,2289509.237,4227682.848,3875345.256,4171551.408,5731422.18,6914003.579,6248019.841
WD2216-657Si,He,0.61,,9120,,8.09,,-5.1,,,-10.6,0.1,-9,0.1,,,-8,0.2,,,-7.1,0.1,<-7,,<-8.5,,<-6.5,,,,,,2590712.377,1618252.922,2012515.343,1433660.765,1458792.763,1528810.3,2898090.879,2640579.212,2870907.501,4011548.064,4914869.603,4406408.943
WD0122-227SiO,He,0.61,,8380,,8.06,,-5.2,,,,,-10.1,0.1,,,-8.5,0.2,,,-8.5,0.4,<-7.6,,,,<-5.2,,,,,,3488009.025,2126731.384,2672492.407,1872394.859,1910048.874,2005785.466,3926136.91,3555964.691,3887411.186,5547818.443,6894173.996,6134658.617
WD2230-125,H,0.59,,21170,,7.93,,0,,,,,,,<-7.3,,<-6,,,,<-6.4,,-7.7,0.2,,,<-6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD0446-255,He,0.58,,10120,,8,,-5.2,-7.3,0.3,-8.8,0.1,-7.4,0.1,-8.2,0.1,-6.9,0.1,-8.5,0.1,-6.6,0.1,-6.5,0.1,-7.9,0.1,-5.8,0.1,,,,,3335246.983,2148859.397,2653432.23,1927986.551,1957005.292,2042226.936,3702098.759,3405085.333,3652985.934,4956601.455,5927724.351,5382499.523
WDJ1814-7354,H,0.59,,10090,,8,,0,<-7.3,,<-8,,-7.22,0.15,<-6.3,,-6.06,0.19,,,-6.14,0.08,<-6,,<-7.4,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PG0843+516GCorr,H,0.577,,22412,,7.902,,0,-6.5,0.2,,,,,-6.3,0.3,-4.6,0.2,-5.8,0.3,-5,0.2,-5.2,0.2,,,-5,0.3,-7.3,0.3,,,0,0,0,0,0,0,0,0,0,0,0,0
PG0843+516XCorr,H,0.577,,22412,,7.902,,0,,,,,-6.26,0.2,,,-3.84,0.18,,,-4.82,0.2,-4.59,0.12,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
GALEX1931+0117GCorr,H,0.573,,21457,,7.9,,0,-6.2,0.2,,,,,-6.7,0.3,-4.5,0.3,-6.1,0.3,,,-4.75,0.2,,,-4.1,0.3,-6.8,0.3,,,0,0,0,0,0,0,0,0,0,0,0,0
GALEX1931+0117VCorr,H,0.573,,21457,,7.9,,0,,,,,-6.11,0.05,,,-4.43,0.09,,,-4.42,0.06,-4.24,0.07,,,-3.62,0.05,,,,,0,0,0,0,0,0,0,0,0,0,0,0
GALEX1931+0117MCorr,H,0.573,,21457,,7.9,,0,<-5.85,,<-7,,-5.83,0.1,<-5.6,,-4.1,0.1,-5.92,0.14,-4.1,0.1,-4.35,0.11,,,-3.68,0.1,<-4.85,,,,0,0,0,0,0,0,0,0,0,0,0,0
SDSSJ2047-1259Corr,He,0.617,,17970,,8.04,,0,<-6.5,,,,-6.9,0.1,-7.4,0.1,-6.4,0.2,,,-5.6,0.1,-5.6,0.1,,,-4.8,0.1,-6.1,0.1,<-7,,0,0,0,0,0,0,0,0,0,0,0,0
WD1551+175Corr,He,0.57,,14756,,8.02,,0,-6.99,0.15,-8.68,0.11,-6.93,0.07,<-7.5,,-6.6,0.1,-8.25,0.07,-6.29,0.05,-6.33,0.1,,,-5.48,0.15,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PG1015+161Corr,H,0.642,,19226,,8.04,,0,,,,,-6.45,0.2,,,-5.5,0.3,<-5.8,,-5.3,0.2,-6.4,0.2,,,-5.5,0.2,<-8,,,,0,0,0,0,0,0,0,0,0,0,0,0
GD362Corr,He,0.551,,10057,,7.95,,0,-6.4,0.2,-7.95,0.1,-6.24,0.1,-7.07,0.15,-5.65,0.1,-7.41,0.1,-5.98,0.25,-5.84,0.3,-7.79,0.2,<-5.14,,<-5.64,,<-4.14,,0,0,0,0,0,0,0,0,0,0,0,0
GD40Corr,He,0.6,,13594,,8.02,,0,-7.35,0.12,-8.61,0.2,-6.9,0.2,-7.84,0.26,-6.47,0.12,-8.31,0.16,-6.2,0.16,-6.44,0.3,,,-5.62,0.1,-7.8,0.2,<-8.8,,0,0,0,0,0,0,0,0,0,0,0,0
G241-6Corr,He,0.71,,15300,,8,,0,<-7.7,,-8.97,0.1,-7.3,0.2,-8.15,0.4,-6.82,0.14,-8.46,0.1,-6.26,0.1,-6.62,0.2,,,-5.64,0.11,<-8.5,,<-8.9,,0,0,0,0,0,0,0,0,0,0,0,0
GD61Corr,He,0.71,,17280,,8.2,,0,<-7.8,,<-8.6,,-7.9,0.0634,<-8.8,,-7.6,0.0667,<-8.0,,-6.69,0.0467,-6.82,0.0367,<-6.8,,-5.95,0.0434,<-9.1,,<-8.0,,0,0,0,0,0,0,0,0,0,0,0,0
NLTT43806Corr,H,0.704,,5838,,8.186,,0,-7.6,0.17,-9.55,0.14,-7.9,0.19,-9.1,0.17,-7.8,0.17,-9.55,0.22,-7.1,0.13,-7.2,0.14,-8.1,0.14,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
HS2253+8023Corr,He,0.84,,14400,,8.4,,0,<-6.7,,-8.74,0.191,-6.99,0.114,-7.31,0.224,-6.17,0.173,-8.01,0.182,-6.1,0.136,-6.27,0.133,<-6.8,,-5.37,0.13,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SDSSJ0738+1835Corr,He,0.841,,13950,,8.4,,0,-6.39,0.11,-7.95,0.11,-6.23,0.15,-6.31,0.1,-4.98,0.09,-6.76,0.12,-4.68,0.07,-4.9,0.16,-6.36,0.16,-3.81,0.19,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SDSSJ1228+1040OptCorr,H,0.73,,20900,,8.15,,0,-5.75,0.2,,,-5.94,0.2,<-6.5,,-5.2,0.3,<-6.00,,-5.2,0.2,-4.7,0.2,,,-4.55,0.2,-7.5,0.2,,,0,0,0,0,0,0,0,0,0,0,0,0
SDSSJ1228+1040Corr,H,0.73,,20900,,8.15,,0,-5.75,0.2,,,-5.94,0.2,<-6.5,,-5.2,0.3,<-6.00,,-5.2,0.2,-5.2,0.2,,,-4.55,0.2,-7.5,0.2,,,0,0,0,0,0,0,0,0,0,0,0,0
G29-38Corr,H,0.85,,11800,,8.4,,0,<-6.1,,-7.9,0.16,-6.58,0.12,<-7.3,,-5.9,0.1,-7.51,0.12,-5.77,0.13,-5.6,0.17,<-6.7,,-5,0.12,-6.9,0.12,<-5.7,,0,0,0,0,0,0,0,0,0,0,0,0
SDSSJ1242+5226Corr,He,0.59,,13000,,8,,0,<-6.5,,-8.2,0.2,-6.53,0.1,<-7.3,,-5.9,0.15,-7.5,0.2,-5.26,0.15,-5.3,0.06,-7.2,0.2,-4.3,0.1,<-4.7,,<-5.00,,0,0,0,0,0,0,0,0,0,0,0,0
SDSSJ0845+2257Corr,He,0.679,,19780,,8.18,,0,-5.7,0.15,<-7.15,,-5.95,0.1,-5.65,0.3,-4.6,0.2,-6.4,0.3,-4.7,0.15,-4.8,0.3,,,-4.25,0.2,-4.9,0.2,<-6.3,,0,0,0,0,0,0,0,0,0,0,0,0
WD1536+520Corr,He,0.58,,20800,,7.96,,0,-5.38,0.15,-6.84,0.15,-5.28,0.15,,,-4.5,0.15,-5.93,0.15,-4.06,0.15,-4.32,0.15,,,-3.4,0.15,<-4.2,,,,0,0,0,0,0,0,0,0,0,0,0,0
SDSSJ1043+0855Corr,H,0.65,,18320,,8.05,,0,-7.06,0.3,<-7.00,,-5.96,0.2,-7.38,0.3,-6.15,0.3,<-6.5,,-5.11,0.2,-5.33,0.5,,,-4.9,0.2,-6.15,0.3,,,0,0,0,0,0,0,0,0,0,0,0,0
WD1425+540Corr,He,0.56,,14490,,7.95,,0,,,,,-9.26,0.1,-9.67,0.2,-8.15,0.14,,,-8.16,0.2,-8.03,0.31,,,-6.62,0.23,-7.29,0.17,-8.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0
WD2115-560Corr,H,0.58,,9600,,7.97,,0,-7.6,0.1,,,-7.4,0.1,,,-6.4,0.1,,,-6.4,0.1,-6.2,0.1,,,<-5.0,,<-4.3,,<-4.0,,0,0,0,0,0,0,0,0,0,0,0,0
WD1232+563Corr,He,0.77,,11787,,8.3,,0,<-7.50,,-8.96,0.11,-7.69,0.05,<-7.3,,-6.45,0.11,-8.16,0.07,-6.09,0.05,-6.36,0.13,,,-5.14,0.15,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD2207+121Corr,He,0.57,,14752,,7.97,,0,-7.08,0.15,-8.84,0.14,-7.4,0.08,-7.55,0.2,-6.46,0.13,-8.16,0.19,-6.15,0.1,-6.17,0.11,,,-5.32,0.15,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD1145+017Corr,He,0.656,,14500,,8.11,,0,-6.89,0.2,-8.57,0.2,-7,0.2,-7.02,0.3,-5.61,0.2,-7.92,0.4,-5.91,0.2,-5.89,0.2,,,-5.12,0.35,-7.5,0.4,<-7.00,,0,0,0,0,0,0,0,0,0,0,0,0
WD0449-259NoNaCorr,He,0.61,,9850,,8.04,,0,,,-10.7,0.2,-9.1,0.1,-8.4,0.2,-7.9,0.2,,,-8.3,0.4,<-7.3,,,,<-6.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD1350-162NoNaCorr,He,0.6,,11640,,8.02,,0,,,-10,0.1,-8.7,0.1,,,-7.1,0.1,-9,0.2,-6.8,0.1,-7.3,0.2,,,-6.2,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD2216-657SiCorr,He,0.61,,9120,,8.05,,0,,,-10.6,0.1,-9,0.1,,,-8,0.2,,,-7.1,0.1,<-7,,<-8.5,,<-6.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMantle2v2,He,0.6,,5843,,8,,0,-5.737881949,0.05,-7.279120704,0.05,-5.877289529,0.05,-8.743427727,0.05,-6.319979844,0.05,-7.1020542,0.05,-4.70556347,0.05,-4.950452764,0.05,-6.613582351,0.05,-4.239060597,0.05,-11.20395928,0.05,-8.25578405,0.05,0,0,0,0,0,0,0,0,0,0,0,0
PG1225-079Corr,He,0.58,,10800,,8,,0,<-7.84,,-9.45,0.231,-8.06,0.192,-8.76,0.184,-7.42,0.231,-9.27,0.228,-7.5,0.2,-7.45,0.1,<-8.26,,<-5.54,,-7.8,0.1,,,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMfcf0err5,He,0.6,,5843,,8,,0,-5.717480237,0.05,-7.258718991,0.05,-5.856887816,0.05,-7.563759071,0.05,-6.142163116,0.05,-7.169688519,0.05,-4.685161758,0.05,-4.822822375,0.05,-6.593180638,0.05,-4.222965747,0.05,-10.53893166,0.05,-8.235382338,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMfcf2err5,He,0.6,,5843,,8,,0,-5.726254161,0.05,-7.267492915,0.05,-5.86566174,0.05,-6.969508023,0.05,-5.66222312,0.05,-7.071184551,0.05,-4.693935682,0.05,-4.822894581,0.05,-6.601954563,0.05,-4.231350635,0.05,-7.78925924,0.05,-8.244156262,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMfcf0err10,He,0.6,,5843,,8,,0,-5.717480237,0.1,-7.258718991,0.1,-5.856887816,0.1,-7.563759071,0.1,-6.142163116,0.1,-7.169688519,0.1,-4.685161758,0.1,-4.822822375,0.1,-6.593180638,0.1,-4.222965747,0.1,-10.53893166,0.1,-8.235382338,0.1,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMfcf2err10,He,0.6,,5843,,8,,0,-5.726254161,0.1,-7.267492915,0.1,-5.86566174,0.1,-6.969508023,0.1,-5.66222312,0.1,-7.071184551,0.1,-4.693935682,0.1,-4.822894581,0.1,-6.601954563,0.1,-4.231350635,0.1,-7.78925924,0.1,-8.244156262,0.1,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMfcf0err20,He,0.6,,5843,,8,,0,-5.717480237,0.2,-7.258718991,0.2,-5.856887816,0.2,-7.563759071,0.2,-6.142163116,0.2,-7.169688519,0.2,-4.685161758,0.2,-4.822822375,0.2,-6.593180638,0.2,-4.222965747,0.2,-10.53893166,0.2,-8.235382338,0.2,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMfcf2err20,He,0.6,,5843,,8,,0,-5.726254161,0.2,-7.267492915,0.2,-5.86566174,0.2,-6.969508023,0.2,-5.66222312,0.2,-7.071184551,0.2,-4.693935682,0.2,-4.822894581,0.2,-6.601954563,0.2,-4.231350635,0.2,-7.78925924,0.2,-8.244156262,0.2,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMfcf0err40,He,0.6,,5843,,8,,0,-5.717480237,0.4,-7.258718991,0.4,-5.856887816,0.4,-7.563759071,0.4,-6.142163116,0.4,-7.169688519,0.4,-4.685161758,0.4,-4.822822375,0.4,-6.593180638,0.4,-4.222965747,0.4,-10.53893166,0.4,-8.235382338,0.4,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPMfcf2err40,He,0.6,,5843,,8,,0,-5.726254161,0.4,-7.267492915,0.4,-5.86566174,0.4,-6.969508023,0.4,-5.66222312,0.4,-7.071184551,0.4,-4.693935682,0.4,-4.822894581,0.4,-6.601954563,0.4,-4.231350635,0.4,-7.78925924,0.4,-8.244156262,0.4,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMfcf0err5,He,0.6,,5843,,8,,0,-5.737881949,0.05,-7.279120704,0.05,-5.877289529,0.05,-9.043427727,0.05,-6.019979844,0.05,-6.8020542,0.05,-4.70556347,0.05,-4.750452764,0.05,-6.613582351,0.05,-4.239060597,0.05,-11.20395928,0.05,-8.25578405,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMfcf2err5,He,0.6,,5843,,8,,0,-5.746655874,0.05,-7.287894628,0.05,-5.886063453,0.05,-6.983647642,0.05,-5.562546891,0.05,-6.775310915,0.05,-4.714337395,0.05,-4.75907273,0.05,-6.622356275,0.05,-4.247799001,0.05,-7.694573503,0.05,-8.264557975,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMfcf0err10,He,0.6,,5843,,8,,0,-5.737881949,0.1,-7.279120704,0.1,-5.877289529,0.1,-9.043427727,0.1,-6.019979844,0.1,-6.8020542,0.1,-4.70556347,0.1,-4.750452764,0.1,-6.613582351,0.1,-4.239060597,0.1,-11.20395928,0.1,-8.25578405,0.1,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMfcf2err10,He,0.6,,5843,,8,,0,-5.746655874,0.1,-7.287894628,0.1,-5.886063453,0.1,-6.983647642,0.1,-5.562546891,0.1,-6.775310915,0.1,-4.714337395,0.1,-4.75907273,0.1,-6.622356275,0.1,-4.247799001,0.1,-7.694573503,0.1,-8.264557975,0.1,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMfcf0err20,He,0.6,,5843,,8,,0,-5.737881949,0.2,-7.279120704,0.2,-5.877289529,0.2,-9.043427727,0.2,-6.019979844,0.2,-6.8020542,0.2,-4.70556347,0.2,-4.750452764,0.2,-6.613582351,0.2,-4.239060597,0.2,-11.20395928,0.2,-8.25578405,0.2,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMfcf2err20,He,0.6,,5843,,8,,0,-5.746655874,0.2,-7.287894628,0.2,-5.886063453,0.2,-6.983647642,0.2,-5.562546891,0.2,-6.775310915,0.2,-4.714337395,0.2,-4.75907273,0.2,-6.622356275,0.2,-4.247799001,0.2,-7.694573503,0.2,-8.264557975,0.2,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMfcf0err40,He,0.6,,5843,,8,,0,-5.737881949,0.4,-7.279120704,0.4,-5.877289529,0.4,-9.043427727,0.4,-6.019979844,0.4,-6.8020542,0.4,-4.70556347,0.4,-4.750452764,0.4,-6.613582351,0.4,-4.239060597,0.4,-11.20395928,0.4,-8.25578405,0.4,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPMfcf2err40,He,0.6,,5843,,8,,0,-5.746655874,0.4,-7.287894628,0.4,-5.886063453,0.4,-6.983647642,0.4,-5.562546891,0.4,-6.775310915,0.4,-4.714337395,0.4,-4.75907273,0.4,-6.622356275,0.4,-4.247799001,0.4,-7.694573503,0.4,-8.264557975,0.4,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCfcf75err5,He,0.6,,5843,,8,,0,-6.367108764,0.05,-7.908347519,0.05,-6.506516344,0.05,-5.467782628,0.05,-4.266389807,0.05,-6.404983941,0.05,-5.334790285,0.05,-5.182411606,0.05,-7.242809166,0.05,-4.605182813,0.05,-5.940123883,0.05,-8.885010865,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCfcf99err5,He,0.6,,5843,,8,,0,-7.765048773,0.05,-9.306287527,0.05,-7.904456352,0.05,-5.359692129,0.05,-4.163187827,0.05,-6.345077774,0.05,-6.732730294,0.05,-5.463762821,0.05,-8.640749175,0.05,-4.796120377,0.05,-5.81967536,0.05,-10.28295087,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCfcf75err10,He,0.6,,5843,,8,,0,-6.367108764,0.1,-7.908347519,0.1,-6.506516344,0.1,-5.467782628,0.1,-4.266389807,0.1,-6.404983941,0.1,-5.334790285,0.1,-5.182411606,0.1,-7.242809166,0.1,-4.605182813,0.1,-5.940123883,0.1,-8.885010865,0.1,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCfcf99err10,He,0.6,,5843,,8,,0,-7.765048773,0.1,-9.306287527,0.1,-7.904456352,0.1,-5.359692129,0.1,-4.163187827,0.1,-6.345077774,0.1,-6.732730294,0.1,-5.463762821,0.1,-8.640749175,0.1,-4.796120377,0.1,-5.81967536,0.1,-10.28295087,0.1,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCfcf75err20,He,0.6,,5843,,8,,0,-6.367108764,0.2,-7.908347519,0.2,-6.506516344,0.2,-5.467782628,0.2,-4.266389807,0.2,-6.404983941,0.2,-5.334790285,0.2,-5.182411606,0.2,-7.242809166,0.2,-4.605182813,0.2,-5.940123883,0.2,-8.885010865,0.2,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCfcf99err20,He,0.6,,5843,,8,,0,-7.765048773,0.2,-9.306287527,0.2,-7.904456352,0.2,-5.359692129,0.2,-4.163187827,0.2,-6.345077774,0.2,-6.732730294,0.2,-5.463762821,0.2,-8.640749175,0.2,-4.796120377,0.2,-5.81967536,0.2,-10.28295087,0.2,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCfcf75err40,He,0.6,,5843,,8,,0,-6.367108764,0.4,-7.908347519,0.4,-6.506516344,0.4,-5.467782628,0.4,-4.266389807,0.4,-6.404983941,0.4,-5.334790285,0.4,-5.182411606,0.4,-7.242809166,0.4,-4.605182813,0.4,-5.940123883,0.4,-8.885010865,0.4,0,0,0,0,0,0,0,0,0,0,0,0
IdealHPCfcf99err40,He,0.6,,5843,,8,,0,-7.765048773,0.4,-9.306287527,0.4,-7.904456352,0.4,-5.359692129,0.4,-4.163187827,0.4,-6.345077774,0.4,-6.732730294,0.4,-5.463762821,0.4,-8.640749175,0.4,-4.796120377,0.4,-5.81967536,0.4,-10.28295087,0.4,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCfcf75err5,He,0.6,,5843,,8,,0,-6.374983622,0.05,-7.916222377,0.05,-6.514391202,0.05,-5.162566435,0.05,-4.204304083,0.05,-6.766046221,0.05,-5.342665143,0.05,-5.38593278,0.05,-7.250684024,0.05,-4.79100341,0.05,-5.863631997,0.05,-8.892885723,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCfcf99err5,He,0.6,,5843,,8,,0,-7.772923631,0.05,-9.314162385,0.05,-7.91233121,0.05,-5.042267434,0.05,-4.098806089,0.05,-6.830504985,0.05,-6.740605152,0.05,-6.776917724,0.05,-8.648624033,0.05,-5.352366922,0.05,-5.743118934,0.05,-10.29082573,0.05,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCfcf75err10,He,0.6,,5843,,8,,0,-6.374983622,0.1,-7.916222377,0.1,-6.514391202,0.1,-5.162566435,0.1,-4.204304083,0.1,-6.766046221,0.1,-5.342665143,0.1,-5.38593278,0.1,-7.250684024,0.1,-4.79100341,0.1,-5.863631997,0.1,-8.892885723,0.1,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCfcf99err10,He,0.6,,5843,,8,,0,-7.772923631,0.1,-9.314162385,0.1,-7.91233121,0.1,-5.042267434,0.1,-4.098806089,0.1,-6.830504985,0.1,-6.740605152,0.1,-6.776917724,0.1,-8.648624033,0.1,-5.352366922,0.1,-5.743118934,0.1,-10.29082573,0.1,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCfcf75err20,He,0.6,,5843,,8,,0,-6.374983622,0.2,-7.916222377,0.2,-6.514391202,0.2,-5.162566435,0.2,-4.204304083,0.2,-6.766046221,0.2,-5.342665143,0.2,-5.38593278,0.2,-7.250684024,0.2,-4.79100341,0.2,-5.863631997,0.2,-8.892885723,0.2,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCfcf99err20,He,0.6,,5843,,8,,0,-7.772923631,0.2,-9.314162385,0.2,-7.91233121,0.2,-5.042267434,0.2,-4.098806089,0.2,-6.830504985,0.2,-6.740605152,0.2,-6.776917724,0.2,-8.648624033,0.2,-5.352366922,0.2,-5.743118934,0.2,-10.29082573,0.2,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCfcf75err40,He,0.6,,5843,,8,,0,-6.374983622,0.4,-7.916222377,0.4,-6.514391202,0.4,-5.162566435,0.4,-4.204304083,0.4,-6.766046221,0.4,-5.342665143,0.4,-5.38593278,0.4,-7.250684024,0.4,-4.79100341,0.4,-5.863631997,0.4,-8.892885723,0.4,0,0,0,0,0,0,0,0,0,0,0,0
IdealLPCfcf99err40,He,0.6,,5843,,8,,0,-7.772923631,0.4,-9.314162385,0.4,-7.91233121,0.4,-5.042267434,0.4,-4.098806089,0.4,-6.830504985,0.4,-6.740605152,0.4,-6.776917724,0.4,-8.648624033,0.4,-5.352366922,0.4,-5.743118934,0.4,-10.29082573,0.4,0,0,0,0,0,0,0,0,0,0,0,0
G166-58,H,0.58,,7390,,7.99,,0,,,,,-9.33,0.08,-9.5,0.2,-8.22,0.13,,,-8.06,0.05,<-8.2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD2221-165,H,0.73,,10130,,8.15,,0,,,,,-7.52,0.15,,,<-5.9,,,,-7,0.2,<-5,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD0307+077,H,0.66,,10230,,7.96,,0,,,,,-7.1,0.14,,,<-6.3,,,,-6.58,0.07,<-5.5,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PG1541+651,H,0.72,,11880,,8.2,,0,,,,,-7.36,0.08,,,<-6,,,,<-6.5,,<-5.7,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD1145+288,H,0.685,,12140,,8.14,,0,,,,,-6.88,0.08,,,-5.43,0.2,,,-6,0.2,<-4.7,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD1150-153,H,0.74,,12640,,8.22,,0,,,,,-7.03,0.2,,,<-5.7,,,,-6.14,0.2,<-5.5,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
GD56,H,0.67,,15270,,8.09,,0,,,,,-6.86,0.2,,,-5.44,0.2,,,-5.55,0.2,-5.69,0.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD0107-192,H,0.59,,15440,,7.95,,0,,,,,-7.77,0.2,,,<-4.7,,,,<-6.4,,<-5.2,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
HE0106-3253,H,0.62,,17350,,8.12,,0,,,,,-5.93,0.11,,,-4.7,0.06,,,-5.57,0.2,-5.48,0.05,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PG1015+161Xu,H,0.642,,19226,,8.04,,0,,,,,-6.4,0.2,,,-4.92,0.2,,,-5.6,0.2,-5.42,0.21,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PG1457-086,H,0.62,,22240,,7.99,,0,,,,,-6.23,0.2,,,<-5,,,,-5.47,0.2,-5.85,0.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD1226+110,H,0.73,,23510,,8.16,,0,,,,,-5.26,0.16,,,<-4.5,,,,-4.52,0.2,-4.64,0.15,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PG1018+411,H,0.69,,24440,,8.11,,0,,,,,<-5,,,,<-4.3,,,,-4.86,0.2,-5.36,0.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD1341+036,H,0.56,,26420,,7.85,,0,,,,,<-4.5,,,,<-4.5,,,,<-6,,<-5.5,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
PG0010+280,H,0.57,,27220,,7.87,,0,,,,,,,,,,,,,,,-7.51,0.15,,,,,-6.75,0.15,,,0,0,0,0,0,0,0,0,0,0,0,0
GaiaJ2100+2122,H,0.693,,25565,,8.1,,0,,,,,-6.227557574,0.2,,,-4.964138135,0.2,,,-5.115278384,0.2,-5.123995621,0.2,,,-3.647454652,0.2,,,,,0,0,0,0,0,0,0,0,0,0,0,0
GaiaJ0347+1624,H,0.686,,21800,,8.1,,0,,,,,-5.69278523,0.2,,,,,,,-5.783900844,0.2,-5.298753106,0.2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
