Name,Type,Mass,error Mass (not used),Teff,error Teff (not used),log(g),error log(g) (not used),log(q),log(Al/Hx),error log(Al/Hx),log(Ti/Hx),error log(Ti/Hx),log(Ca/Hx),error log(Ca/Hx),log(Ni/Hx),error log(Ni/Hx),log(Fe/Hx),error log(Fe/Hx),log(Cr/Hx),error log(Cr/Hx),log(Mg/Hx),error log(Mg/Hx),log(Si/Hx),error log(Si/Hx),log(Na/Hx),error log(Na/Hx),log(O/Hx),error log(O/Hx),log(C/Hx),error log(C/Hx),log(N/Hx),error log(N/Hx),t_Al,t_Ti,t_Ca,t_Ni,t_Fe,t_Cr,t_Mg,t_Si,t_Na,t_O,t_C,t_N
EarthFcf0.1,He,0.6,,5843,,8,,0,-5.781443908,0.1,-7.325024795,0.1,-5.920773703,0.1,-6.300828181,0.1,-5.01376176,0.1,-6.740352843,0.1,-4.747411924,0.1,-4.816343408,0.1,-6.659113327,0.1,-4.28101466,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.2,He,0.6,,5843,,8,,0,-5.83259643,0.1,-7.376177318,0.1,-5.971926225,0.1,-6.027804404,0.1,-4.765975856,0.1,-6.588272121,0.1,-4.798564447,0.1,-4.830983311,0.1,-6.710265849,0.1,-4.332167182,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.3,He,0.6,,5843,,8,,0,-5.890588377,0.1,-7.434169265,0.1,-6.029918172,0.1,-5.861464799,0.1,-4.609189193,0.1,-6.475855522,0.1,-4.856556393,0.1,-4.846133987,0.1,-6.768257796,0.1,-4.390159129,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.4,He,0.6,,5843,,8,,0,-5.957535167,0.1,-7.501116054,0.1,-6.096864962,0.1,-5.74148525,0.1,-4.494234378,0.1,-6.386635845,0.1,-4.923503183,0.1,-4.86183237,0.1,-6.835204586,0.1,-4.457105919,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.5,He,0.6,,5843,,8,,0,-6.036716413,0.1,-7.5802973,0.1,-6.176046208,0.1,-5.64757816,0.1,-4.403426778,0.1,-6.312658201,0.1,-5.002684429,0.1,-4.878119551,0.1,-6.914385832,0.1,-4.536287165,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.6,He,0.6,,5843,,8,,0,-6.133626426,0.1,-7.677207313,0.1,-6.272956221,0.1,-5.570410461,0.1,-4.328361971,0.1,-6.249466817,0.1,-5.099594442,0.1,-4.895041423,0.1,-7.011295845,0.1,-4.633197178,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.7,He,0.6,,5843,,8,,0,-6.258565162,0.1,-7.80214605,0.1,-6.397894958,0.1,-5.504907656,0.1,-4.264379568,0.1,-6.19431289,0.1,-5.224533179,0.1,-4.912649466,0.1,-7.136234581,0.1,-4.758135915,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.8,He,0.6,,5843,,8,,0,-6.434656421,0.1,-7.978237309,0.1,-6.573986217,0.1,-5.448001857,0.1,-4.208624266,0.1,-6.145380609,0.1,-5.400624438,0.1,-4.931001688,0.1,-7.31232584,0.1,-4.934227174,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.9,He,0.6,,5843,,8,,0,-6.735686417,0.1,-8.279267305,0.1,-6.875016212,0.1,-5.397695999,0.1,-4.159219354,0.1,-6.101407521,0.1,-5.701654434,0.1,-4.950163778,0.1,-7.613355836,0.1,-5.235257169,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
EarthFcf0.99,He,0.6,,5843,,8,,0,-7.735686417,0.1,-9.279267305,0.1,-7.875016212,0.1,-5.356920108,0.1,-4.119102091,0.1,-6.065311812,0.1,-6.701654434,0.1,-4.968163698,0.1,-8.613355836,0.1,-6.235257169,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0,He,0.6,,5843,,8,,0,-5.823908741,0.1,,,-5.958607315,0.1,-8,0.1,-5.356547324,0.1,,,-4.769551079,0.1,-4.795880017,0.1,,,-4.229147988,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.1,He,0.6,,5843,,8,,0,-5.869666232,0.1,,,-6.004364805,0.1,-6.367542708,0.1,-5.057495894,0.1,,,-4.815308569,0.1,-4.841637508,0.1,,,-4.266000713,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.2,He,0.6,,5843,,8,,0,-5.920818754,0.1,,,-6.055517328,0.1,-6.071604148,0.1,-4.882066165,0.1,,,-4.866461092,0.1,-4.89279003,0.1,,,-4.306273051,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.3,He,0.6,,5843,,8,,0,-5.978810701,0.1,,,-6.113509275,0.1,-5.897223385,0.1,-4.757458572,0.1,,,-4.924453039,0.1,-4.950781977,0.1,,,-4.350665141,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.4,He,0.6,,5843,,8,,0,-6.045757491,0.1,,,-6.180456064,0.1,-5.77314243,0.1,-4.660747366,0.1,,,-4.991399828,0.1,-5.017728767,0.1,,,-4.400116928,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.5,He,0.6,,5843,,8,,0,-6.124938737,0.1,,,-6.259637311,0.1,-5.6767479,0.1,-4.581698709,0.1,,,-5.070581074,0.1,-5.096910013,0.1,,,-4.455931956,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.6,He,0.6,,5843,,8,,0,-6.22184875,0.1,,,-6.356547324,0.1,-5.597910649,0.1,-4.51484665,0.1,,,-5.167491087,0.1,-5.193820026,0.1,,,-4.519993057,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.7,He,0.6,,5843,,8,,0,-6.346787486,0.1,,,-6.48148606,0.1,-5.531209738,0.1,-4.456925765,0.1,,,-5.292429824,0.1,-5.318758763,0.1,,,-4.595166283,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.8,He,0.6,,5843,,8,,0,-6.522878745,0.1,,,-6.657577319,0.1,-5.473402291,0.1,-4.405828521,0.1,,,-5.468521083,0.1,-5.494850022,0.1,,,-4.68613278,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.9,He,0.6,,5843,,8,,0,-6.823908741,0.1,,,-6.958607315,0.1,-5.422393323,0.1,-4.360115258,0.1,,,-5.769551079,0.1,-5.795880017,0.1,,,-4.801342913,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MarsFcf0.99,He,0.6,,5843,,8,,0,-7.823908741,0.1,,,-7.958607315,0.1,-5.38110507,0.1,-4.32272163,0.1,,,-6.769551079,0.1,-6.795880017,0.1,,,-4.940058112,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
GaiaJ0510+2315,H,0.746,,21700,,8.2,,0,,,,,-6.3148,0.1,,,,,,,-5.2347,0.1,-5.119024,0.1,,,-4.2348,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
GaiaJ0644-0352,He,0.704,,18350,,8.18,,0,-6.764300108,0.1,-8.366256826,0.1,-6.771397706,0.1,,,-6.461667739,0.1,,,-5.737716628,0.1,-5.978153314,0.1,,,-5.227454084,0.1,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SDSSJ0006+2858,H,0.655,,23921,,8.04,,0,,,,,-6.170845533,0.1,,,,,,,-4.949937751,0.1,-4.927114524,0.1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD0611-6931,H,0.702,,17750,,8.14,,0,,,,,-6.185814805,0.1,,,-3.769590378,0.1,,,-4.671877697,0.1,-4.59577768,0.1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
WD0611-6931Full,H,0.702,,17750,,8.14,,0,,,,,-6.185814805,0.1,,,-3.769590378,0.25,,,-4.671877697,0.1,-4.59577768,0.1,,,<-3.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
GALEX1931+0117Melis,H,0.596,,20409,,7.95,,-16.192102,<-5.85,,<-7,,-5.83,0.1,<-5.6,,-4.1,0.1,-5.92,0.14,-4.1,0.1,-4.35,0.11,,,-3.68,0.1,<-4.85,,,,0.0138209024,0.007857160054,0.008551305065,0.005816316085,0.006352677376,0.00690851015,0.01442371724,0.01245379177,0.004759581853,0.007008011406,0.01423467644,0.008844139823
SynthEarthfcf0,He,0.6,,5843,,8,,0,-5.719438886,0.05,-7.260677641,0.05,-5.858846466,0.05,-7.091533234,0.05,-5.623347671,0.05,-6.902026021,0.05,-4.687120407,0.05,-4.810135099,0.05,-6.595139288,0.05,-4.238679843,0.05,-9.854815977,0.05,-8.237340987,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.1,He,0.6,,5843,,8,,0,-5.765196377,0.05,-7.306435131,0.05,-5.904603956,0.05,-6.33676313,0.05,-5.048907697,0.05,-6.737240341,0.05,-4.732877898,0.05,-4.817037712,0.05,-6.640896779,0.05,-4.275777565,0.05,-7.082516818,0.05,-8.283098478,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.2,He,0.6,,5843,,8,,0,-5.816348899,0.05,-7.357587654,0.05,-5.955756479,0.05,-6.07571102,0.05,-4.809962764,0.05,-6.618066709,0.05,-4.78403042,0.05,-4.824051809,0.05,-6.692049301,0.05,-4.316342692,0.05,-6.781853799,0.05,-8.334251,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.3,He,0.6,,5843,,8,,0,-5.874340846,0.05,-7.415579601,0.05,-6.013748426,0.05,-5.913807574,0.05,-4.656708913,0.05,-6.524652855,0.05,-4.842022367,0.05,-4.83118105,0.05,-6.750041248,0.05,-4.361090858,0.05,-6.605884935,0.05,-8.392242947,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.4,He,0.6,,5843,,8,,0,-5.941287636,0.05,-7.48252639,0.05,-6.080695215,0.05,-5.796140427,0.05,-4.543655602,0.05,-6.447818116,0.05,-4.908969157,0.05,-4.838429278,0.05,-6.816988038,0.05,-4.410985016,0.05,-6.481007408,0.05,-8.459189737,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.5,He,0.6,,5843,,8,,0,-6.020468882,0.05,-7.561707636,0.05,-6.159876461,0.05,-5.703652536,0.05,-4.454036175,0.05,-6.382555199,0.05,-4.988150403,0.05,-4.845800533,0.05,-6.896169284,0.05,-4.467364404,0.05,-6.384134126,0.05,-8.538370983,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.6,He,0.6,,5843,,8,,0,-6.117378895,0.05,-7.658617649,0.05,-6.256786474,0.05,-5.627444586,0.05,-4.379784213,0.05,-6.325830455,0.05,-5.085060416,0.05,-4.853299063,0.05,-6.993079297,0.05,-4.532170387,0.05,-6.304977368,0.05,-8.635280996,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.7,He,0.6,,5843,,8,,0,-6.242317632,0.05,-7.783556386,0.05,-6.381725211,0.05,-5.562634111,0.05,-4.316392912,0.05,-6.275666097,0.05,-5.209999153,0.05,-4.860929341,0.05,-7.118018033,0.05,-4.608372123,0.05,-6.238048071,0.05,-8.760219733,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.8,He,0.6,,5843,,8,,0,-6.418408891,0.05,-7.959647645,0.05,-6.55781647,0.05,-5.506251325,0.05,-4.261086816,0.05,-6.230700761,0.05,-5.386090412,0.05,-4.868696079,0.05,-7.294109293,0.05,-4.700850851,0.05,-6.180069244,0.05,-8.936310992,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.9,He,0.6,,5843,,8,,0,-6.719438886,0.05,-8.260677641,0.05,-6.858846466,0.05,-5.456354508,0.05,-4.212034832,0.05,-6.189957278,0.05,-5.687120407,0.05,-4.876604247,0.05,-7.595139288,0.05,-4.818503131,0.05,-6.128926927,0.05,-9.237340987,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthEarthfcf0.99,He,0.6,,5843,,8,,0,-7.719438886,0.05,-9.260677641,0.05,-7.858846466,0.05,-5.415877349,0.05,-4.172176219,0.05,-6.15629464,0.05,-6.687120407,0.05,-4.883846851,0.05,-8.595139288,0.05,-4.961191584,0.05,-6.087541663,0.05,-10.23734099,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0,He,0.6,,5843,,8,,0,-5.768561998,0.05,-7.309800752,0.05,-5.907969577,0.05,-7.078048558,0.05,-5.037409907,0.05,-6.660961111,0.05,-4.736243519,0.05,-4.78013268,0.05,-6.6442624,0.05,-4.282928919,0.05,-9.377088378,0.05,-8.286464099,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.1,He,0.6,,5843,,8,,0,-5.814319489,0.05,-7.355558243,0.05,-5.953727068,0.05,-6.074266704,0.05,-4.816644942,0.05,-6.624386415,0.05,-4.78200101,0.05,-4.825461668,0.05,-6.69001989,0.05,-4.314549213,0.05,-6.780226531,0.05,-8.33222159,0.05,0,0,0,0,0,0,0,0,0,0,0,0
SynthMarsfcf0.2,He,0.6,,5843,,8,,0,-5.865472011,0.05,-7.406710765,0.05,-6.00487959,0.05,-5.795314967,0.05,-4.670982215,0.05,-6.590654082,0.05,-4.833153532,0.05,-4.876079156,0.05,-6.741172413,0.05,-4.348653791,0.05,-6.479746288,0.05,-8.383374112,0.05,0,0,0,0,0,0,0,0,0,0,0,0
