SDSSJ1234+5208,He,0.637,-4.819510704
SDSSJ1238+2149,He,0.632,-4.590109776
SDSSJ1245+0822,He,0.6,-4.430136
SDSSJ1254+3551,He,0.597,-4.576320384
SDSSJ1257+3238,He,0.6,-4.310192
SDSSJ1257-0310,He,0.6,-4.461128
SDSSJ1259+3112,He,0.589,-4.43862688
SDSSJ1259+4729,He,0.454,-3.80642104
SDSSJ1303+4055,He,0.618,-4.679510832
SDSSJ1308+0957,He,0.6,-4.549376
SDSSJ1308+0258,He,0.6,-4.418492
SDSSJ1314+3748,He,0.819,-5.488784248
SDSSJ1316+1918,He,0.375,-3.28505376
SDSSJ1319+3641,He,0.763,-5.357129984
SDSSJ1320+0204,He,0.6,-4.537664
SDSSJ1321-0237,He,0.6,-4.350928
SDSSJ1329+1301,He,0.381,-3.507695488
SDSSJ1336+3547,He,0.609,-4.602437248
SDSSJ1339+2643,He,0.622,-4.692639728
SDSSJ1340+2702,He,0.6,-4.565956
SDSSJ1342+1813,He,0.6,-4.338416
SDSSJ1345+1153,He,0.689,-4.418
SDSSJ1347+1415,He,0.696,-5.0206232
SDSSJ1350+1058,He,0.902,-5.656384
SDSSJ1351+2645,He,0.421,-3.6209752
SDSSJ1356+2416,He,0.58,-4.47377976
SDSSJ1356+0236,He,0.595,-4.626260864
SDSSJ1401+3659,He,0.557,-4.333625096
SDSSJ1404+3620,He,0.709,-5.053587008
SDSSJ1405+2542,He,0.6,-4.40128
SDSSJ1405+1549,He,0.621,-4.72588248
SDSSJ1411+3410,He,0.807,-5.337332
SDSSJ1421+1843,He,0.562,-4.428023968
SDSSJ1428+4403,He,0.614,-4.66830144
SDSSJ1429+3841,He,0.375,-3.357583584
SDSSJ1430-0151,He,0.621,-4.677540608
SDSSJ1443+5833,He,0.6,-4.524684
SDSSJ1443+3014,He,0.6,-4.51912
SDSSJ1445+0913,He,0.6,-4.52354
SDSSJ1448+1047,He,0.682,-4.941502416
SDSSJ1500+2315,He,0.6,-4.49688
SDSSJ1502+3744,He,0.624,-4.570692
SDSSJ1507+4034,He,0.6,-4.535376
SDSSJ1518+0506,He,0.672,-4.719543432
SDSSJ1524+4049,He,0.701,-5.007133608
SDSSJ1534+1242,He,0.6,-4.450308
SDSSJ1535+1247,He,0.682,-4.89263
SDSSJ1537+3608,He,0.6,-4.337496
SDSSJ1540+5352,He,0.6,-4.487
SDSSJ1542+4650,He,0.744,-5.17760664
SDSSJ1543+2024,He,0.6,-4.451784
SDSSJ1545+5236,He,0.639,-4.723403712
SDSSJ1549+2633,He,0.614,-4.682258528
SDSSJ1549+1906,He,0.6,-4.458344
SDSSJ1554+1735,He,0.721,-5.148457768
SDSSJ1604+1830,He,0.636,-4.7520992
SDSSJ1610+4006,He,0.6,-4.490952
SDSSJ1612+3534,He,0.6,-4.529964
SDSSJ1616+3303,He,0.569,-4.461330056
SDSSJ1624+3310,He,0.6,-4.498704
SDSSJ1626+3303,He,0.6,-4.50334
SDSSJ1627+4646,He,0.45,-3.82976
SDSSJ1636+1619,He,0.669,-4.503304
SDSSJ1641+1856,He,0.536,-4.16699064
SDSSJ1649+2238,He,0.634,-4.567662224
SDSSJ1706+2541,He,0.6,-4.389576
SDSSJ2109-0039,He,0.572,-4.43142416
SDSSJ2110+0512,He,0.6,-4.391856
SDSSJ2123+0016,He,0.675,-4.785818272
SDSSJ2157+1206,He,0.531,-4.2332504
SDSSJ2225+2338,He,0.535,-4.25031492
SDSSJ2230+1905,He,0.6,-4.358104
SDSSJ2231+0906,He,0.567,-4.345041088
SDSSJ2235-0056,He,0.758,-5.27792128
SDSSJ2238+0213,He,0.6,-4.521104
SDSSJ2238-0113,He,0.6,-4.455392
SDSSJ2304+2415,He,0.53,-4.08003288
SDSSJ2319+3018,He,0.6,-4.543032
SDSSJ2328+0830,He,0.6,-4.346144
SDSSJ2330+2805,He,0.6,-4.469528
SDSSJ2333+1058,He,0.6,-4.48814
SDSSJ2340+0124,He,0.574,-4.429808
SDSSJ2340+0817,He,0.661,-4.829486392
SDSSJ2343-0010,He,0.309,-3.015368
SDSSJ2352+1922,He,0.6,-4.428988
SDSSJ2352+3344,He,0.6,-4.5308
SDSSJ2357+2348,He,0.6,-4.437188
GaiaJ1814-7355,H,0.58,-10.87315968
SDSSJ2047-1259,He,0.617,-6.4271168
PG0843+516,H,0.6123456789,-16.25526
WD1551+175,He,0.57,-5.27137568
WD1929+011,H,0.596,-16.2829
