wdid|request|name|wdname|gaiaedr3|icrsra|icrsdec|spectype|teff|Dteff|logg|Dlogg|mass|Dmass|logL|DlogL|age|Dage|loghhe|logche|logch|lognh|logohe|logoh|lognahe|lognah|logmghe|logmgh|logalhe|logalh|logsihe|logsih|logphe|logph|logshe|logsh|logclhe|logcahe|logcah|logsche|logsch|logtihe|logtih|logvhe|logcrhe|logcrh|logmnhe|logmnh|logfehe|logfeh|logcohe|lognihe|lognih|logcuhe|logznhe|loggahe|loggehe|logsrhe|parallax|Dparallax|Dpc|DDpc|variability|ismag|binarity|BD|hasdisk|pmra|pmdec|comp|allnames|velU|velV|velW|B|DB|Mv|V|DV|R|DR|I|DI|J|DJ|H|DH|K|DK|su|Dsu|sg|Dsg|sr|Dsr|si|Dsi|sz|Dsz|PS_g|DPS_g|PS_r|DPS_r|PS_i|DPS_i|PS_z|DPS_z|PS_y|DPS_y|G|DG|BP|RP|EBmV|nbUV|nbOpt
* alf CMa B||Gaia EDR3 2947050466531873024|WD 0642-166|2947050466531873024|06 45 08.79|-16 43 15.36|DA|26083|378|8.61|0.04|0.94|0.11|-1.53||0.11||||||||||||||||||||||||||||||||||||||||||374.4895885|0.2313347|2.67||||WDMS|||-461.5705055|-914.5196209|H|Gaia DR2 2947050466531873024;NAME Sirius B;NAME Sirius BC;WD 0642-163;1RXS J064509.3-164241;Zkh 92;CCDM J06451-1643BC;8pc 379.21B;WDS J06451-1643BC;WD 0642-16;RE J0645-164;1ES 0642-16.6;HD 48915B;2RXF J064508.6-164240;UBV 6710;RE J064509-164243;2RE J0645-164;GJ 244 B;[BM83] X0642-166;EUVE J0645-16.7;WD 0643-16;H 0643-16;* alf CMa B;2E 1730;RE J0645-16;WD 0642-166;EGGR 49;BD-16 1591B;1E 064255-1639.3;1E 064255-1639.4;RX J0645.1-1642;CSI-16 1591 3;2E 0642.9-1638;GEN# +1.00048915B;IDS 06408-1635 B;NAME Sirius C;** AGC 1BC;2EUVE J0645-16.7;2RE J064509-164243;ADS 5423 B;Gaia EDR3 2947050466531873024;Sirius B;WDJ064509.30-164300.72;J0645-1642;J0645-1643;J0645-164;J0645-16.7;J0645-16|-0.6|-10.2|-14.5|8.41||11.22|8.44|0.06|||||||||||||||||||||||||||||||8.524133|0.043088283|8.120362|8.398789|0|2|1
* alf CMi B||J0739+0513|WD 0736+053||07 39 17.88|05 13 26.76|DQZ|7585|33|7.964||0.5541||-3.31||1.22|||-5.8551|||||||||||||||||||||||||||||||||||||||284.56||3.5142|0.0156|||WDMS|||-709|-1024|He|WD 0736+052;GJ 280 B;UBV 7350;CSI+05 1739 2;WDS J07393+0514B;EGGR 53;WD 0736+053;NAME Procyon B;2XMMi J073917.7+051324;2RXP J073918.2+051334;WD 0736+05;Zkh 107;BD+05 1739B;** SHB 1B;* alf CMi B;CCDM J07393+0514B;8pc 285.93B;ADS 6251 B;IDS 07341+0529 B;J0739+0513;Procyon B;J0739+0514;J0739+0513|0.6|-12|-18.4|11.19||13.21|10.94|0.05|10.79||10.67||||||||||||||||||||||||||||||||0|1|1
* omi02 Eri B||Gaia EDR3 3195919254111315712|WD 0413-077|3195919254111315712|04 15 19.39|-07 40 22.63|DA|17099|256|7.95|0.04|0.57|0.06|-1.85||0.12||||||||||||||||||||||||||||||||||||||||||199.6911|0.0512|5.01|||yes|WDMS|0.0073||-2236.169|-3338.955|H|CCDM J04153-0739B;GJ 166 B;Zkh 59;LTT 1908;Gaia DR2 3195919254110817408;CSI-07 781 1;WDS J04153-0739B;2E 957;2E 0412.9-0745;* omi02 Eri B;NLTT 12868;AAVSO 0410-07C;WD 0413-077;LFT 339;PMSC 04107-0748B;** STF 518B;WEB 3795;EGGR 33;GC 5140;GCRV 2441;LPM 182;LHS 24;LP 7-781 A;WD 0413-07;HD 26976;ADS 3093 B;8pc 198.24B;Ci 20 289;G 160-60;UCAC2 29035414;UBV 4141;GEN# +1.00026976B;WD 0413-074;UBV M 10045;* 40 Eri B;SAO 131065;BD-07 781;Gaia EDR3 3195919254111315712;40 Eri B;J0415-0739|-44.2|-34.8|-73|9.83||10.97|9.52|0.05|||||9.849||9.986||9.861||||||||||||||||||||||9.5422|0.0028|9.4811|9.6721|0|2|1
2MASS J00022257+6357443||Gaia EDR3 431635455820288128||431635455820288128|00 02 24.88|63 57 45.88|DC|4959|23|8.026|0.011|0.596|0.01|-4.18||6.55||||||||||||||||||||||||||||||||||||||||||38.05764102|0.058539525|26.28|||||||918.8258433|108.0548498|H|LSR J0002+6357;USNO-B1.0 1539-00001447;Gaia DR2 431635455820288128;LSPM J0002+6357;2MASS J00022257+6357443;TIC 418707388;PM J00023+6357;Gaia EDR3 431635455820288128;J0002+6357;WDJ000222.65+635744.14;2359+636;00023+6357;J0002+6357||||17.8||14.77|||16.2||||15.575|0.136|15.513|0.217|15.513|0.217|17.6419|0.00777|||||||||17.64189911|0.00777|16.99349976|0.004634|16.72260094|0.003196|16.64609909|0.00977|16.59110069|0.010103|17.00943|0.005917004|17.518332|16.36698|0.001|0|1
2MASS J01213782+3440431||Gaia EDR3 320029150076023808|WD 0118+344|320029150076023808|01 21 37.61|34 40 43.09|DZ|6798|28|8.086|0.008|0.627|0.007|-3.49||1.97||-4|||||||||||||||||||-10.85|||||||||||||||||||||25.78056021|0.06641323|38.79|||||||-139.3226037|7.256605599|He|WD 0118+344;2MASS J01213782+3440431;Gaia DR2 320029150076023808;SDSS J012137.74+344043.0;PM J01216+3440;TIC 61129836;Gaia EDR3 320029150076023808;J0121+3440;WDJ012137.80+344042.98;01216+3440;J0121+3440||||||13.66|||||||16.16655|0.01163|16.146|0.259|15.88|0.03|17.2341|0.00866|16.76||16.64||16.64||16.74||16.75040054|0.007648|16.64990044|0.00466|16.6718998|0.002049|16.7465992|0.002619|16.80509949|0.008498|16.611736|0.00536205|16.773214|16.32891|0.001|0|2
2MASS J01503855-7207164||Gaia EDR3 4686800224727589248|WD 0149-723|4686800224727589248|01 50 37.67|-72 07 20.27|DC|6840|60|8.13|0.03|||||||||||||||||||||||||||||||||||||||||||||||31.52925573|0.035032243|31.72|||||||-229.3575895|-232.9983541|He|WD 0149-723;2MASS J01503855-7207164;SCR J0150-7207;Gaia DR2 4686800224727589248;TIC 304102073;Gaia EDR3 4686800224727589248;015038.47-720716.54;SCR 0150-7207;WDJ015038.47-720716.54;J0150-7207||||16.19|||||15.72||15.24||15.65|0.05|15.64|0.12|15.42|0.18|||||||||||||||||||||16.232738|0.004012152|16.427723|15.897209|0.001|0|1
2MASS J02145697+7746000||Gaia EDR3 561231932144411008|WD 0209+775|561231932144411008|02 14 58.37|77 45 53.82|DC|4804|49|8.193|0.022|0.702|0.02|-3.89||8.95||||||||||||||||||||||||||||||||||||||||||25.19995979|0.10940883|39.68|||||||265.6958514|-379.2770698|H|LSPM J0214+7746;2MASS J02145697+7746000;TIC 395771880;WD 0209+775;PM J02149+7746;USNO-B1.0 1677-00021118;Gaia DR2 561231932144411008;Gaia EDR3 561231932144411008;J0214+7745;WDJ021457.04+774559.88;02149+7746;J0214+7746;J0214+7745||||19.2||14.32|||18||||17.5|0.03|15.89|0.03|15.89||18.958|0.01937|||||||||18.95800018|0.019367|18.29899979|0.010538|17.99690056|0.011844|17.89089966|0.009166|17.83539963|0.019750001|18.310844|0.024593873|18.86133|17.649282|0.002|0|2
2MASS J02230030+5544272||Gaia EDR3 457474219590579328|WD 0219+555|457474219590579328|02 23 00.45|55 44 25.94|DA|6781|36|8.281|0.008|0.77|0.008|-3.7||3.12||||||||||||||||||||||||||||||||||||||||||26.11146855|0.056634992|38.3|||||||124.3531816|-120.1004802|H|USNO-B1.0 1457-00078192;PM J02230+5544;TIC 348675220;2MASS J02230030+5544272;Gaia DR2 457474219590579328;LSPM J0223+5544;WD 0219+555;Gaia EDR3 457474219590579328;J0223+5544;WDJ022300.22+554427.86;02230+5544;J0223+5544||||17.2||14.14|||16.6||||15.78|0.2|15.68|0.2|15.678|0.237|17.08|0.005|||||||||17.0788002|0.00473|16.90690041|0.003937|16.86529922|0.005116|16.89710045|0.004389|16.91309929|0.0132|16.858673|0.003912368|17.058525|16.529926|0.001|0|2
2MASS J02494417+3307251||Gaia EDR3 139623068897753856|WD 0246+329|139623068897753856|02 49 44.43|33 07 29.83|DA|5706|13|7.99|0.006|0.58|0.006|-3.94||2.63||||||||||||||||||||||||||||||||||||||||||28.00653358|0.068367764|35.71|||||||178.4599221|260.64658|H|2MASS J02494417+3307251;PM J02497+3307;LSPM J0249+3307;SDSS J024944.28+330727.2;USNO-B1.0 1231-00049445;WD 0246+329;Gaia DR2 139623068897753856;TIC 77427181;Gaia EDR3 139623068897753856;J0249+3307;WDJ024944.20+330725.66;02497+3307;J0249+3307||||18||14.72|||16.7||||15.96682|0.01255|15.495|0.108|15.391|0.153|18.47874|0.01791|17.43||16.97||16.79||16.73||17.37260056|0.003872|16.97800064|0.004102|16.81970024|0.003182|16.78370094|0.003976|16.78039932|0.006118|16.986555|0.007217321|17.34158|16.48104|0.001|0|2
2MASS J03105758+6634022||Gaia EDR3 492442090962517376||492442090962517376|03 10 59.44|66 33 55.67|DC|4719|8|7.881|0.007|0.508|0.006|-4.19||5.9||||||||||||||||||||||||||||||||||||||||||26.04373801|0.09936344|38.4|||||||684.7164097|-435.7667289|H|TIC 275585500;LSR J0310+6634;Gaia DR2 492442090962517376;PM J03109+6634;2MASS J03105758+6634022;USNO-B1.0 1565-00064531;LSPM J0310+6634;Gaia EDR3 492442090962517376;J0310+6633;WDJ031057.60+663402.63;0306+663;03109+6634;J0310+6634;J0310+6633||||18.8||15.31|||17.7||||16.3|0.22|15.31|0.03|15.31||18.5909|0.0033|||||||||18.59090042|0.003457|17.86529922|0.003916|17.55920029|0.008859|17.46019936|0.011543|17.40649986|0.001509|17.885513|0.010863473|18.44308|17.198189|0.001|0|2
2MASS J03432310+1958133||Gaia EDR3 63126196662620416||63126196662620416|03 43 23.21|19 58 16.19|DA|7158|28|8.46|0.005|0.889|0.005|-3.71||3.71||||||||||||||||||||||||||||||||||||||||||48.17731639|0.041852254|20.76|||||||75.52925494|161.8139493|H|TIC 114165492;2MASS J03432310+1958133;UCAC4 550-007540;USNO-B1.0 1099-00041628;LSPM J0343+1958;PM J03433+1958;Gaia DR2 63126196662620416;Gaia EDR3 63126196662620416;J0343+1958;WDJ034323.12+195813.60;03433+1958;J0343+1958||||16.15|0.05|14.16|||15.55|0.06|||14.80957|0.00597|14.81105|0.00952|15.038|0.124|15.8066|0.0064|||||||||15.80659962|0.006397|15.66069984|0.005412|15.64229965|0.001931|15.68019962|0.002255|15.73009968|0.005424|15.617215|0.002771337|15.796421|15.295829|0|0|1
2MASS J04010150+5131304||Gaia EDR3 250862824946594816|WD 0357+513|250862824946594816|04 01 02.14|51 31 17.24|DC|5123|10|8.298|0.006|0.774|0.005|-3.97||8.36||||||||||||||||||||||||||||||||||||||||||39.83565887|0.07690448|25.1|||||||367.4312346|-803.1907685|H|LSPM J0401+5131;2MASS J04010150+5131304;PM J04010+5131W;SDSS J040101.71+513126.1;Gaia DR2 250862824946594816;USNO-B1.0 1415-00120959;WD 0357+513;LSR J0401+5131;TIC 266041363;SDSS J040101.70+513126.1;Gaia EDR3 250862824946594816;J0401+5131;WDJ040101.51+513130.09;0357+513;04010+5131W;J0401+5131||||17.5||14.57|||16.8||||15.93924|0.00663|15.67022|0.00975|15.58492|0.01931|19.36099|0.02881|17.78||17.08||16.83||16.72||17.65780067|0.003886|17.08239937|0.004038|16.86619949|0.002358|16.77639961|0.008976|16.74060059|0.003399|17.11259|0.006346331|17.56402|16.511269|0|0|2
2MASS J04255699+4614177||Gaia EDR3 256832412872262656||256832412872262656|04 25 57.13|46 14 18.19|DC|4569|48|8.281|0.026|0.761|0.024|-4.22||10.21||||||||||||||||||||||||||||||||||||||||||26.63385143|0.25191358|37.55|||||||172.1553348|-78.21378018|H|PM J04259+4614;2MASS J04255699+4614177;Gaia EDR3 256832412872262656;J0425+4614;WDJ042556.87+461419.44;Gaia DR2 256832412872262656;04259+4614;J0425+4614||||||15.44|||||||15.96|0.01|15.78|0.01|16.08||19.2521|0.013|||||||||18.5257|0.0206|18.2058|0.0111|17.9513|0.0565|17.9698|0.0308|16.42|0.01|18.614243|0.034592096|19.146498|17.85478|0.001|0|2
2MASS J04325585-3557289||Gaia EDR3 4867574023826934272|WD 0431-360|4867574023826934272|04 32 56.26|-35 57 28.38|DA|5153|154|8|0|0.58|0|||4.89||||||||||||||||||||||||||||||||||||||||||38.01933746|0.04423652|26.3|||||||296.0315778|40.86785804|H|LEHPM 2-1182;TIC 170732273;Gaia DR2 4867574023826934272;2MASS J04325585-3557289;WD 0431-360;Gaia EDR3 4867574023826934272;WDJ043255.87-355729.04;J0432-3557|10.8|-19.6|27||||17.03||||||15.48|0.06|15.17|0.08|15.23|0.18|||||||||||||||||||||16.7955|0.005752823|17.268536|16.162762|0|0|1
2MASS J04332980+0414477||Gaia EDR3 3282093301842469376||3282093301842469376|04 33 29.90|04 14 40.58|DA|5035|14|8.113|0.006|0.651|0.006|-3.97||7.15||||||||||||||||||||||||||||||||||||||||||41.16005815|0.06524486|24.3|||||||96.92479929|-454.0110962|H|PM J04334+0414;2MASS J04332980+0414477;TIC 452784255;USNO-B1.0 0942-00043407;LSPM J0433+0414;Gaia EDR3 3282093301842469376;J0433+0414;WDJ043329.80+041447.85;Gaia DR2 3282093301842469376;04334+0414;J0433+0414||||17.4||14.62|||16.3||||15.261|0.103|15.184|0.183|15.184|0.183|17.4949|0.0049|||||||||17.49489975|0.005413|16.86580086|0.003585|16.62070084|0.002155|16.53510094|0.00724|16.4878006|0.008564|16.898586|0.006170501|17.378908|16.260342|0|0|1
2MASS J04555136+3840505||Gaia EDR3 199060743352070528|WD 0452+386|199060743352070528|04 55 51.71|38 40 50.03|DA|5177|16|8.119|0.009|0.656|0.008|-4.04||6.33||||||||||||||||||||||||||||||||||||||||||30.9974848|0.10685536|32.26|||||||209.0324652|-54.44974415|H|TIC 120997786;Gaia DR2 199060743352070528;LSPM J0455+3840;PM J04558+3840;WD 0452+386;2MASS J04555136+3840505;USNO-B1.0 1286-00095656;Gaia EDR3 199060743352070528;J0455+3840;WDJ045551.43+384050.90;04558+3840;J0455+3840||||18.1||14.82|||16.9||||15.92|0.01|17.77|0.09|15.321|0.177|17.9498|0.0048|||||||||17.94980049|0.006743|17.37470055|0.002756|17.13489914|0.005115|17.06080055|0.006436|17.03280067|0.012108|17.394295|0.008786249|17.855951|16.776552|0|0|2
2MASS J05155350+2839169||Gaia EDR3 3422405214775411840||3422405214775411840|05 15 53.75|28 39 15.17|DAH|6505|20|8.222|0.005|0.73|0.005|-3.55||3.08||||||||||||||||||||||||||||||||||||||||||33.26446429|0.053663883|30.06|||||||171.4423888|-102.3410642|H|LSPM J0515+2839;USNO-B1.0 1186-00076913;PM J05158+2839;TIC 61956866;2MASS J05155350+2839169;Gaia EDR3 3422405214775411840;J0515+2839;WDJ051553.54+283916.81;Gaia DR2 3422405214775411840;05158+2839;J0515+2839||||16.5||13.39|||16||||15.313|0.065|15.4|0.02|15.266|0.106|16.6753|0.0035|||||||||16.6753006|0.003824|16.41539955|0.003419|16.3404007|2.10E-05|16.34079933|0.002975|16.36440086|0.007368|16.397837|0.002653082|16.641909|15.99589|0|0|1
2MASS J05265609+4435395||Gaia EDR3 208021900557436800||208021900557436800|05 26 56.49|44 35 32.80|DC|4693|24|7.888|0.014|0.512|0.012|-4.16||6.08||||||||||||||||||||||||||||||||||||||||||25.71342102|0.12831931|38.89|||||||251.657255|-373.1308403|H|PM J05269+4435;USNO-B1.0 1345-00142147;TIC 87720037;2MASS J05265609+4435395;Gaia DR2 208021900557436800;LSPM J0526+4435;Gaia EDR3 208021900557436800;J0526+4435;WDJ052656.11+443538.77;05269+4435;J0526+4435||||18.8||15.14|||17.4||||16.37|0.01|18.27|0.13|15.854|0.248|18.6569|0.0093|||||||||18.65690041|0.00794|17.92499924|0.00542|17.63960075|0.002362|17.5196991|0.006376|17.44949913|0.009983|17.959332|0.015577507|18.509762|17.269272|0.001|0|1
2MASS J06023672+0904237||Gaia EDR3 3329569015639064192|WD 0559+090|3329569015639064192|06 02 36.82|09 04 19.67|DA|5713|15|7.824|0.007|0.486|0.005|-3.61||2.04||||||||||||||||||||||||||||||||||||||||||26.8077488|0.07763825|37.3|||||||107.5681612|-245.5487936|H|USNO-B1.0 0990-00081677;PM J06026+0904;2MASS J06023672+0904237;LSPM J0602+0904;Gaia DR2 3329569015639064192;WD 0559+090;TIC 140602705;Gaia EDR3 3329569015639064192;J0602+0904;WDJ060236.71+090423.60;06026+0904;J0602+0904||||17.4||13.91|||16.5||||15.542|0.131|15.25|0.03|15.25||17.1686|0.00369|||||||||17.16860008|0.00386|16.84339905|0.002478|16.71680069|0.003873|16.68619919|0.00236|16.69750023|0.006388|16.837503|0.006139461|17.120296|16.35785|0|0|1
2MASS J06214164-4016187||Gaia EDR3 5573532025833121408|WD 0620-402|5573532025833121408|06 21 41.77|-40 16 24.55|DZ|5919|278|8|0|0.59|0|||2.39||||||||||||||||||||||||||||||||||||||||||42.22708128|0.030878121|23.68|||||||94.41613196|-355.9144365|He|2MASS J06214164-4016187;WD 0620-402;TIC 237388608;Gaia DR2 5573532025833121408;LEHPM 2-505;Gaia EDR3 5573532025833121408;WDJ062141.64-401618.85;J0621-4016|-13.9|-25|-7.2||||16.2||||||15.27|0.04|15.13|0.09|15.24|0.17|||||||||||||||||||||16.071438|0.002330629|16.32913|15.658889|0|0|1
2MASS J06322939+2230050||Gaia EDR3 3382277296672027136||3382277296672027136|06 32 29.20|22 30 02.10|DA|5508|18|7.991|0.009|0.579|0.008|-3.84||3.04||||||||||||||||||||||||||||||||||||||||||26.8901816|0.10053672|37.19|||||||-147.0210513|-157.5589646|H|2MASS J06322939+2230050;USNO-B1.0 1125-00137983;PM J06324+2230;LSPM J0632+2230;TIC 54579090;Gaia EDR3 3382277296672027136;J0632+2230;WDJ063229.37+223004.62;Gaia DR2 3382277296672027136;06324+2230;J0632+2230||||||14.72|||17.1||||15.806|0.14|15.76|0.03|15.76||17.6743|0.00483|||||||||17.67429924|0.005022|17.22979927|0.002464|17.04610062|0.002741|16.99650002|0.004562|16.97489929|0.01068|17.247253|0.009916696|17.636534|16.704227|0|0|1
2MASS J06443019+2731115||Gaia EDR3 3386162214851684864||3386162214851684864|06 44 30.00|27 31 10.67|DA|6975|26|8.391|0.007|0.843|0.006|-3.9||3.57||||||||||||||||||||||||||||||||||||||||||25.92147182|0.06762422|38.58|||||||-146.3614344|-44.68026951|H|Gaia DR2 3386162214851684864;LSPM J0644+2731;SDSS J064430.10+273111.1;TIC 84443086;SDSS J064430.09+273111.1;PM J06445+2731;USNO-B1.0 1175-00166661;WIRED J064430.09+273111.1;2MASS J06443019+2731115;Gaia EDR3 3386162214851684864;Gaia DR3 3386162214851684864;J0644+2731;WDJ064430.17+273111.39;06445+2731;J0644+2731||||18.2||14.63|||17.2||||16.26611|0.0112|16.755|0.438|16.38|0.03|17.722|0.01107297|17.16048|0.004310745|16.95181|0.004310088|16.91075|0.004938561|16.98072|0.01201825|17.14999962|0.004268|16.97550011|0.002715|16.94260025|0.003422|16.96229935|0.003711|17.03170013|0.014018|16.940895|0.007216029|17.14242|16.58584|0.001|0|2
2MASS J06503681+1657538||Gaia EDR3 3358418684623972864|WD 0647+170|3358418684623972864|06 50 36.60|16 57 50.83|DA|5229|13|8.154|0.007|0.679|0.007|-3.96||6.4||||||||||||||||||||||||||||||||||||||||||34.25404436|0.08348562|29.19|||||||-184.2803899|-189.5609335|H|PM J06506+1657;TIC 155138674;WD 0647+170;LSPM J0650+1657;USNO-B1.0 1069-00128347;2MASS J06503681+1657538;Gaia DR2 3358418684623972864;Gaia EDR3 3358418684623972864;J0650+1657;WDJ065036.81+165753.86;06506+1657;J0650+1657||||17.9||14.6|||16.9||||15.733|0.155|15.31|0.185|15.31|0.185|17.7027|0.0032|||||||||17.70269966|0.003143|17.14349937|0.003309|16.93079948|0.002919|16.85779953|0.005643|16.82900047|0.013384|17.177208|0.01102878|17.654522|16.56732|0|0|2
2MASS J06533021-3954292||Gaia EDR3 5564029702750970112|WD 0651-398A|5564029702750970112|06 53 30.12|-39 54 25.56|DA|7100|220|8.03|0.05|0.61|0.05|-3.45|0.06|1.53|0.17|||||||||||||||||||||||||||||||||||||||||40.34032644|0.030443083|24.79||||DDr|||-65.47134132|222.7386169|H|WDS J06536-3956B;TIC 156806956;2MASS J06533021-3954292;WD 0651-398;** SUB 2B;Gaia DR2 5564029702750970112;WT 201;WD 0651-398A;Gaia EDR3 5564029702750970112;WT 202;WDJ065330.21-395429.12;J0653-3956;J0653-3954|5.2|28.7|8.9|||13.51|15.46||15.23||14.98||14.71|0.04|14.55|0.05|14.49|0.11|||||||||||||||||||||15.92264|0.00276482|16.196466|15.48608|0|0|1
2MASS J06533533-3955335||Gaia EDR3 5564028981196462336|WD 0651-398B|5564028981196462336|06 53 35.25|-39 55 29.66|DA|6360|220|8.14|0.06|0.68|0.05|-3.7|0.07|2.66|0.52|||||||||||||||||||||||||||||||||||||||||40.26535416|0.021967687|24.84||||DDr|||-64.13754581|227.0397667|H|UCAC4 251-011949;WISE J065335.28-395531.0;2MASS J06533533-3955335;** SUB 2A;DENIS J065335.3-395533;WD 0651-398.1;WDS J06536-3956A;TIC 156806967;HIDDEN NAME WD 0651-398A;WT 202;WD 0651-398B;Gaia EDR3 5564028981196462336;Gaia DR2 5564028981196462336;WT 201;WDJ065335.34-395533.29;J0653-3955;J0653-3956||||||14.12|16.07||15.75||15.45||15.1|0.05|14.9|0.08|14.71|0.12|||||||||||||||||||||15.354928|0.001728935|15.537441|15.027457|0|0|1
2MASS J07085228-6706314||Gaia EDR3 5280944182024023552|WD 0708-670|5280944182024023552|07 08 51.67|-67 06 32.93|DC|5020|80|7.99|0.04|0.56|0.03|-4.04|0.04|5.47|0.34|||||||||||||||||||||||||||||||||||||||||58.96127963|0.030661715|16.96|||||||-224.4880021|-93.8383376|He|2MASS J07085228-6706314;SCR J0708-6706;WISEA J070851.87-670632.4;WD 0708-670;TIC 300013123;Gaia EDR3 5280944182024023552;Gaia DR2 5280944182024023552;SCR 0708-6706;WDJ070852.28-670631.43;J0708-6706|4.7|4.9|-19.9|17.03||15.09|16.22||15.72||15.21||14.71|0.03|14.65|0.05|14.47|0.07|||||||||||||||||||||15.959545|0.002310103|16.452976|15.305003|0|0|1
2MASS J07535663-2524016||Gaia EDR3 5602379190880667904|WD 0751-252|5602379190880667904|07 53 56.27|-25 23 58.18|DA|5006|9|7.957|0.005|0.554|0.004|-4.02||5.32||||||||||||||||||||||||||||||||||||||||||56.1226046|0.036141597|17.82||||WDMS|||-297.9983861|206.5253449|H|2MASS J07535663-2524016;WD 0751-252;Gaia DR2 5602379190877207936;TIC 128902999;SCR J0753-2524;WDS J07542-2518B;** SUB 3B;Gaia EDR3 5602379190880667904;J0753-2523;SCR0753-2524;WDJ075356.62-252401.48;J0753-2524;J0754-2518;J0753-2523|19.1|15.5|-13.8|16.18||15.03|16.27|0.05|15.78||15.31||14.471|0.033|14.304|0.093|14.304|0.093|16.636|0.00294|||||||||16.63599968|0.003857|16.02319908|0.002671|15.76270008|0.003058|15.68010044|0.001949|15.6243|0.004109|16.030767|0.001915475|16.512772|15.397154|0|0|1
2MASS J10143597+4226228||Gaia EDR3 805470233890349440|WD 1011+426|805470233890349440|10 14 36.16|42 26 20.40|DA|7758|29|8.449|0.006|0.883|0.005|-3.51||2.96||||||||||||||||||||||||||||||||||||||||||31.98631158|0.04388031|31.26|||||||128.391039|-131.2182334|H|LSPM J1014+4226;SDSS J101436.01+422622.0;USNO-B1.0 1324-00257334;PM J10145+4226;SDSS J101436.01+422622.1;2MASS J10143597+4226228;WIRED J101436.01+422622.1;TIC 39730919;Gaia DR2 805470233890349440;WD 1011+426;Gaia EDR3 805470233890349440;Gaia DR3 805470233890349440;J1014+4226;WDJ101435.97+422622.50;10145+4226;SDSS_J101436.01+422622.1;J1014+4226||||16.8||13.68|||16.2||||15.72358|0.0095|15.496|0.118|15.281|0.187|16.76114|0.006559295|16.31769|0.003554169|16.25905|0.003905842|16.24918|0.004400955|16.32265|0.007675356|16.3572998|0.005134|16.26670074|0.009442|16.27930069|0.004243|16.35490036|0.002771|16.40769958|0.009379|16.220682|0.002948909|16.36198|15.957194|0.001|0|1
2MASS J10221035+4612491||Gaia EDR3 833470465721350784|WD 1022+461|833470465721350784|10 22 10.37|46 12 47.40|DA|7223|23|8.223|0.006|0.732|0.006|-3.6||2.14||||||||||||||||||||||||||||||||||||||||||30.34785796|0.04594007|32.95|||||||10.12003981|-124.7538079|H|PM J10221+4612;WD 1019+464;TIC 150251751;Gaia DR2 833470465721350784;WD 1022+461;WIRED J102210.36+461249.2;2MASS J10221035+4612491;SDSS J102210.35+461249.1;SDSS J102210.36+461249.2;SDSS J102210.36+461249.1;Gaia EDR3 833470465721350784;Gaia DR3 833470465721350784;J1022+4612;WDJ102210.36+461249.40;10221+4612;SDSS_J102210.36+461249.2;J1022+4612||||||13.88|||||||15.60521|0.00717|15.461|0.116|15.558|0.197|16.94785|0.008114166|16.42007|0.003512843|16.25449|0.003788265|16.2196|0.004153347|16.29081|0.008013672|16.39450073|0.003|16.26399994|0.002827|16.24370003|0.002647|16.29439926|0.004028|16.32390022|0.006075|16.22174|0.004445542|16.39967|15.891483|0.001|0|2
2MASS J10480182+6334487||Gaia EDR3 1055313016981775488|WD 1044+638|1055313016981775488|10 48 01.22|63 34 46.55|DA|5147|14|7.949|0.008|0.551|0.006|-4.02||4.25||||||||||||||||||||||||||||||||||||||||||29.11632117|0.06398958|34.34|||||||-261.5816303|-140.1880634|H|NLTT 25365;PM J10480+6334;LSPM J1048+6334;2MASS J10480182+6334487;SDSS J104801.84+633448.9;WD 1044+638;SDSS J104801.83+633448.8;SDSS J104801.84+633448.8;SDSS J104801.83+633448.7;Gaia DR2 1055313016981775488;TIC 149928599;USNO-B1.0 1535-00183122;LP 62-451;Gaia EDR3 1055313016981775488;J1048+6334;WDJ104801.84+633448.80;10480+6334;J1048+6334||||18.1||14.93|||17.1||||16.132|0.107|15.802|0.178|15.501|0.231|19.42655|0.0288|17.932|0.006|17.292|0.005|17.053|0.006|16.963|0.012|17.82900047|0.004298|17.28890038|0.004929|17.08390045|0.003215|17.01880074|0.003687|16.9571991|0.00834|17.326159|0.011012357|17.764097|16.732971|0.001|0|1
2MASS J11094130+5512289||Gaia EDR3 843807902246527232|WD 1106+554|843807902246527232|11 09 41.45|55 12 25.78|DA|7084|24|8.597|0.006|0.977|0.005|-3.71||4.35||||||||||||||||||||||||||||||||||||||||||27.93046467|0.05989619|35.8|||||||91.80630812|-182.3356023|H|WD 1106+554;TIC 302307854;SDSS J110941.29+551228.2;SDSS J110941.30+551228.3;SDSS J110941.29+551228.3;2MASS J11094130+5512289;WIRED J110941.30+551228.3;Gaia DR2 843807902246527232;Gaia EDR3 843807902246527232;Gaia DR3 843807902246527232;J1109+5512;WDJ110941.28+551228.70;SDSS_J110941.29+551228.3;J1109+5512||||||14.15|||||||16.45588|0.01599|16.398|0.288|||17.83008|0.01053058|17.26669|0.004473997|17.1078|0.004689358|17.05532|0.005206297|17.08376|0.01147385|17.26639938|0.003727|17.1067009|0.003669|17.07320023|0.003174|17.13680077|0.004499|17.15920067|0.008899|17.079435|0.003901688|17.277185|16.756678|0.001|0|1
