wdid|request|name|wdname|gaiaedr3|icrsra|icrsdec|spectype|teff|Dteff|logg|Dlogg|mass|Dmass|logL|DlogL|age|Dage|loghhe|logche|logch|lognh|logohe|logoh|lognahe|lognah|logmghe|logmgh|logalhe|logalh|logsihe|logsih|logphe|logph|logshe|logsh|logclhe|logcahe|logcah|logsche|logsch|logtihe|logtih|logvhe|logcrhe|logcrh|logmnhe|logmnh|logfehe|logfeh|logcohe|lognihe|lognih|logcuhe|logznhe|loggahe|loggehe|logsrhe|parallax|Dparallax|Dpc|DDpc|variability|ismag|binarity|BD|hasdisk|pmra|pmdec|comp|allnames|velU|velV|velW|B|DB|Mv|V|DV|R|DR|I|DI|J|DJ|H|DH|K|DK|su|Dsu|sg|Dsg|sr|Dsr|si|Dsi|sz|Dsz|PS_g|DPS_g|PS_r|DPS_r|PS_i|DPS_i|PS_z|DPS_z|PS_y|DPS_y|G|DG|BP|RP|EBmV|nbUV|nbOpt
WD 0457-004||Gaia EDR3 3228023859770327424|WD 0457-004|3228023859770327424|04 59 43.40|-00 22 42.52|DA|11090|120|8.79|0.02|1.093|0.003|-3.17|0.03|1.8|0.07|||||||||||||||||||||||||||||||||||||||||40.45859306|0.030659817|24.72|||||||177.5210191|-228.6717414|H|Gaia DR2 3228023859770327424;2MASS J04594321-0022387;G 84-26;TIC 213038303;NLTT 14307;WD 0457-004;SDSS J045943.20-002238.6;Gaia EDR3 3228023859770327424;045943.21-002238.86;J0459-0022;WDJ045943.21-002238.86;J0459-0022|-6.1|-23.8|2.5|15.8||13.18|15.3||||||15.33|0.05|15.2|0.09|15.36|0.17|15.442|0.004|15.157|0.003|15.284|0.004|15.416|0.004|15.64|0.006|15.17819977|0.005222|15.28730011|0.003141|15.45580006|0.002462|15.63020039|0.00199|15.75529957|0.005438|15.183936|0.002083883|15.216227|15.140716|0|0|1
WD 0501-555||Gaia EDR3 4764692171059541120|WD 0501-555|4764692171059541120|05 02 43.32|-55 26 39.41|DC|7851|452|||||||||||||||||||||||||||||||||||||||||||||||||25.08137849|0.033530563|39.87|||||||-61.31516021|-261.0004938|He|WD 0501-555;EC 05017-5530;TIC 220476416;2MASS J05024343-5526352;LEHPM 3865;Gaia EDR3 4764692171059541120;Gaia DR2 4764692171059541120;LEHPM 1-3865;WDJ050243.44-552635.24;J0502-5526||||16.71|||16.35||16.17||15.98||15.91|0.08|15.72|0.15|15.82|0.26|||||||||||||||||||||16.275093|0.002826743|16.412407|16.037455|0|0|1
WD 0503+147||Gaia EDR3 3392181976588782336|WD 0503+147|3392181976588782336|05 06 15.82|14 48 28.98|DBA|14760.9095|211.861784|7.920862|0.027622|0.64|0.04|-2.11||0.2138||-5.38||||||||||||||||||||||||||||||||||||||||25.92229839|0.036934588|38.58|||||||-1.932524352|-81.47283895|He|WD 0503+147;Gaia DR2 3392181976588782336;SDSS J050615.83+144829.6;UCAC4 525-010907;2MASS J05061581+1448300;SDSS J050615.82+144829.6;WISE J050615.81+144829.6;LAMOST J050615.81+144829.4;PM J05062+1448;TIC 293513505;KUV 05034+1445;Gaia EDR3 3392181976588782336;WDJ050615.82+144830.29;05062+1448;J0506+1448||||14.11|0.04|11.33|13.8||14.36|0.14|||14.46|0.04|14.54|0.06|14.6|0.09|14.958|0.009|14.135|0.004|16.708|0.022|14.559|0.005|15.388|0.011|14.01599979|0.006984|14.27620029|0.002383|14.53709984|0.004876|14.75459957|0.00288|14.90859985|0.003256|14.098627|0.001536947|14.033206|14.198781|0|0|4
WD 0525+526||Gaia EDR3 263082591016645504|WD 0525+526|263082591016645504|05 29 50.89|52 39 44.62|DA|20617.5843|664.319132|9.09628|0.028702|1.26|0.01|-2.26||||||||||||||||||||||||||||||||||||||||||||25.5615248|0.04926015|39.12|||||||364.1933964|-548.3066078|H|LHS 1764;NLTT 15126;2MASS J05295020+5239541;PM J05298+5239;LSPM J0529+5239;USNO 502;USNO-B1.0 1426-00184577;PLX 1235.01;WD 0525+526;Gaia DR2 263082591016645504;LP 119-48;TIC 310157108;Gaia EDR3 263082591016645504;WDJ052950.25+523953.39;05298+5239;J0529+5239||||15.9||12.67|||15.5||||16.195|0.088|||||||||||||||15.54220009|0.002284|15.86559963|0.003163|16.16090012|0.001876|16.43029976|0.005055|16.62759972|0.022986|15.66308|0.001725876|15.579504|15.8539915|0.001|0|1
WD 0541+260||Gaia EDR3 3429296884940000000|WD 0541+260|3.4293E+18|05 44 58.85|26 02 37.91|DC|5029|14|7.429|0.01|0.299|0.005|-4.26||2||||||||||||||||||||||||||||||||||||||||||27.76884054|0.079718895|36.01|||||||999.7638606|-1389.758251|H|TIC 76097341;2MASS J05445751+2603028;PM J05449+2602;USNO-B1.0 1160-00086951;LSPM J0544+2603;WD 0541+260;LSR J0544+2603;Gaia EDR3 3429296884940000000;J0544+2602;WDJ054457.66+260300.14;0541+260;Gaia DR2 3429296884940000000;05449+2602;J0544+2603;J0544+2602||||18.1||15.27|||16.1||||15.29|0.03|15.14|0.03|15.14||17.5783|0.0042|||||||||17.57830048|0.0042|16.79299927|0.004766|16.58620071|0.002616|16.42449951|0.006212|16.45910072|0.009819|16.876333|0.00945759|17.396109|16.203592|0|0|3
WD 0551+468||Gaia EDR3 198027266851070848|WD 0551+468|198027266851070848|05 55 43.05|46 50 39.98|DA|5191|10|7.956|0.005|0.555|0.004|-3.96||4.06||||||||||||||||||||||||||||||||||||||||||33.36582544|0.06787211|29.97|||||||14.06833117|-532.2501231|H|2MASS J05554302+4650489;USNO-B1.0 1368-00160184;TIC 440321570;LP 159-32;NLTT 15796;WDS J05558+4651B;LHS 1801;PM J05557+4650S;LSPM J0555+4650S;PLX 1353.11;WD 0551+468;Gaia DR2 198027266851070848;** LDS 3680B;Gaia EDR3 198027266851070848;J0555+4650;WDJ055543.03+465048.49;05557+4650S;J0555+4650;J0555+4651||||18.07||14.68|17.23||16.76||16.29||15.461|0.078|15.511|0.154|15.511|0.155|17.5249|0.0041|||||||||17.52490044|0.003587|16.97500038|0.003541|16.74060059|0.005282|16.6548996|0.017866001|16.62579918|0.000624|16.996769|0.008219879|17.444908|16.390612|0|0|1
WD 0559+15||Gaia EDR3 3348678699526809600|WD 0559+158|3348678699526809600|06 02 31.43|15 53 02.61|DA|7008|26|8.305|0.006|0.786|0.006|-3.72||2.96||||||||||||||||||||||||||||||||||||||||||26.39490995|0.065121084|37.89|||||||288.511891|-134.6356732|H|WD 0559+158;USNO-B1.0 1058-00098939;NLTT 15957;LSPM J0602+1553;PM J06025+1553;TIC 97865128;G 105-4;WD 0559+15;2MASS J06023107+1553049;Gaia EDR3 3348678699526809600;J0602+1553;WDJ060231.11+155304.77;0559+158;Gaia DR2 3348678699526809600;06025+1553;J0602+1553||||16.4||14.2|||16.5||||15.89841|0.00965|15.88115|0.0232|15.845|0.262|16.9494|0.00409|||||||||16.94939995|0.003694|16.78190041|0.002205|16.74959946|0.003248|16.77630043|0.007239|16.80540085|0.003624|16.739185|0.005996282|16.93237|16.40491|0|0|1
WD 0615-59||Gaia EDR3 5482551252566796928|WD 0615-591|5482551252566796928|06 16 14.16|-59 12 32.40|DB|15746|238|8.04|0.06|0.61|0.04|-2.07||0.195||<-6.32|<-6.0|||||||||||||||||||||||||||||||||||||||27.72965637|0.02030989|36.06|||||||-48.3495816|-312.1810914|He|L 182-61;WDS J06163-5913C;GCRV 27424;** LDS 157C;LTT 2511;CCDM J06163-5913C;NLTT 16355;WD 0615-59;uvby98 600102511;IDS 06149-5910 C;WG 8;BPM 18164;2MASS J06161426-5912275;NSV 16822;WD 0615-591;GJ 9209 B;TIC 260266507;Gaia EDR3 5482551252566796928;Gaia DR2 5482551252566796928;WDJ061614.26-591227.41;J0616-5913;J0616-5912|-11.3|-0.1|7.1|14||11.22|14.09|0.1|||||14.304|0.032|14.477|0.055|14.492|0.088|||||||||||||||||||||13.953241|0.001545736|13.8890505|14.057369|0|1|4
WD 0622-801||Gaia EDR3 5210778263380292096|WD 0622-801|5210778263380292096|06 18 12.88|-80 11 49.93|DA|13400|230|8.4|0.01|0.834|0.035|||||||||||||||||||||||||||||||||||||||||||||27.97825431|0.017936073|35.74|||||||-31.98044232|330.5784239|H|DENIS J061813.1-801155;2MASS J06181312-8011554;TIC 261400271;UCAC4 050-004145;Gaia DR2 5210778263380292096;USNO-B1.0 0098-00020434;WD 0622-801;EC 06220-8010;Gaia EDR3 5210778263380292096;061813.08-801155.22;LEP0618-8011;WDJ061813.08-801155.22;J0618-8011||||14.98|||14.854||14.887||14.936||15.036||15.307||14.995||||14.82|0.05|15.03|0.04|15.17|0.01|||||||||||||14.881219|0.001902421|14.872133|14.937827|0.001|0|1
WD 0628-020||Gaia EDR3 3117320802840630400|WD 0628-020|3117320802840630400|06 30 38.48|-02 05 53.24|DA|6355|13|7.829|0.004|0.493|0.003|-3.53|0.02|1.58||||||||||||||||||||||||||||||||||||||||||46.72301326|0.028012648|21.4||||WDMS|||-113.1358217|-172.0434366|H|G 106-51B;LP 600-42;WD 0628-020;NLTT 16611;UCAC3 176-39421;LP 600-43;WDS J06306-0205B;UCAC4 440-017950;Gaia DR2 3117320802840630400;** LDS 5677B;USNO-B1.0 0879-00142484;Gaia EDR3 3117320802840630400;J0630-0205;LP600-042;WDJ063038.60-020550.49;J0630-0205|-5.2|-7.7|-17.7|15.3||13.5|15.36||15.43|0.07|||14.04134|0.00794|||||15.4473|0.00253|||||||||15.44729996|0.002707|15.2407999|0.001374|15.1850996|0.001782|14.91409969|0.00014|15.18630028|0.005363|15.213439|0.002825856|15.422677|14.816267|0|0|3
