wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
Gaia DR2 4590489981163833984,Gaia EDR3 4590489981163833984,18 09 19.54,29 57 22.04,DA,22514.6663,8.384231,24.45,,
Gaia DR2 459237630076876672,Gaia EDR3 459237630076876672,02 27 04.37,59 15 02.30,DA,7286.75136,7.846336,37.69,15.97,
Gaia DR2 4604247070649603584,Gaia EDR3 4604247070649603584,17 53 52.11,33 06 23.12,DA,17123.3011,7.986772,35.70,13.24,
Gaia DR2 4613612951211823616,Gaia EDR3 4613612951211823616,03 17 18.28,-85 32 31.65,DA,,,29.39,13.66,
Gaia DR2 4805691447831511680,Gaia EDR3 4805691447831511680,05 28 44.13,-43 04 49.81,DA,,,38.33,16.09,
Gaia DR2 481698110012697728,Gaia EDR3 481698110012697728,05 37 14.83,67 59 49.53,DAH,7748.27607,8.330083,35.01,,
Gaia DR2 4860061541910268160,Gaia EDR3 4860061541910268160,03 40 10.97,-36 10 38.68,DA9,,,34.39,,
Gaia DR2 5167424240722533760,Gaia EDR3 5167424240722533760,03 11 24.62,-08 53 25.66,DA,4920.0,7.79,38.96,,
Gaia DR2 53278867446391040,Gaia EDR3 53278867446391040,03 58 26.75,21 57 22.04,DAZ,6784.0,8.223,36.14,,
Gaia DR2 54253618862057728,Gaia EDR3 54253618862057728,03 26 31.66,15 57 17.10,DA,5680.62186,8.178924,38.59,,
Gaia DR2 551153263105246208,Gaia EDR3 551153263105246208,04 12 46.23,75 49 42.68,DAe,8514.12007,8.24665,35.05,15.73,
Gaia DR2 5753337533146097280,Gaia EDR3 5753337533146097280,08 25 32.28,-07 28 22.70,DA,15550.0,7.97,35.48,13.91,
Gaia DR2 6178524211524592640,Gaia EDR3 6178524211524592640,13 55 09.71,-26 22 50.32,DA,6080.0,8.06,32.53,16.71,
Gaia DR2 6246049446837287680,Gaia EDR3 6246049446837287680,16 19 16.13,-18 31 13.10,DA,5340.0,8.34,38.42,,
Gaia DR2 63054590968017408,Gaia EDR3 63054590968017408,03 45 12.06,19 40 24.24,DA,12367.0,8.225893,28.25,,
Gaia DR2 6310804634396281984,Gaia EDR3 6310804634396281984,14 43 17.92,-14 37 17.37,DA,6610.0,8.2,28.73,16.37,
Gaia DR2 6389551313580046464,Gaia EDR3 6389551313580046464,23 31 45.77,-66 56 08.86,DA,,,39.51,,
Gaia DR2 6479860113444922368,Gaia EDR3 6479860113444922368,21 02 22.38,-48 27 48.49,DAwk,,,38.38,15.07,
Gaia DR2 6673731810450381056,Gaia EDR3 6673731810450381056,20 06 10.07,-43 55 55.18,DA,,,39.43,15.69,
Gaia DR2 6740493675455190784,Gaia EDR3 6740493675455190784,19 44 54.80,-36 03 13.11,DA,,,29.61,14.0,
Gaia DR2 6844375121726139520,Gaia EDR3 6844375121726139520,21 39 57.39,-12 45 50.08,DA,7730.0,8.36,36.74,16.46,
Gaia DR2 6865904860773722496,Gaia EDR3 6865904860773722496,20 06 32.24,-21 01 42.27,DA,5070.0,7.9,39.09,,
Gaia DR2 688606063549945600,Gaia EDR3 688606063549945600,09 12 16.49,25 38 20.72,DA,6577.0,8.057,37.78,,17.53
Gaia DR2 85787470611883008,Gaia EDR3 85787470611883008,02 27 24.72,18 07 22.62,DA,8443.87011,7.974134,37.42,,
Gaia DR2 859567752163281792,Gaia EDR3 859567752163281792,11 34 44.63,61 08 25.52,DA,7477.0,7.97,28.11,15.45,16.025
Gaia DR2 885100916128136064,Gaia EDR3 885100916128136064,07 22 05.85,28 06 26.06,DA,5196.13123,8.028445,36.44,,
Gaia DR2 933287876501371520,Gaia EDR3 933287876501371520,08 01 31.69,48 52 52.62,DA,5161.0,7.944,35.83,,19.47
Gaia DR2 960039814744267520,Gaia EDR3 960039814744267520,06 20 06.15,42 05 42.99,DA,6651.14828,8.332279,37.68,,
Gaia DR2 980918204822332416,Gaia EDR3 980918204822332416,07 05 49.53,51 42 43.15,DA,4970.92152,8.138701,39.83,,
Gaia DR2 995112350178946048,Gaia EDR3 995112350178946048,06 32 35.87,55 59 01.65,DAH,9965.33097,8.523592,37.04,,
HD 13445B,GJ86B,02 10 26.20,-50 49 25.00,DA,8184.0,7.81,10.78,14.0,
HD 140901B,Gaia EDR3 6009537829925128064,15 47 29.45,-37 55 11.81,DA,10402.0,7.97,15.22,12.8,
HD 216777B,Gaia EDR3 2610488514148351360,22 55 50.06,-07 50 03.14,DA,6705.0,7.979,35.95,16.5,17.235
HD 283750B,Gaia EDR3 151650935831913216,04 36 45.17,27 09 49.15,DA,5505.1017,8.014662,17.40,15.79,
