T:,5000,5250,5500,5750,6000,6250,6500,6750,7000,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10250,10500,10750,11000,11250,11500,11750,12000,12250,12500,12750,13000,13250,13500,13750,14000,14250,14500,14750,15000,15250,15500,15750,16000,16250,16500,16750,17000,17250,17500,17750,18000,18250,18500,18750,19000,19250,19500,19750,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,32000,34000,36000,38000,40000
qcvz:,-5.624,-5.67,-5.716,-5.757,-5.796,-5.826,-5.858,-5.882,-5.901,-5.916,-5.93,-5.94,-5.947,-5.949,-5.957,-5.957,-5.958,-5.962,-5.96,-5.96,-5.957,-5.952,-5.95,-5.953,-5.963,-5.971,-5.976,-5.989,-5.999,-6.011,-6.023,-6.045,-6.066,-6.094,-6.124,-6.153,-6.19,-6.225,-6.26,-6.302,-6.343,-6.389,-6.438,-6.487,-6.544,-6.602,-6.663,-6.732,-6.804,-6.885,-6.965,-7.051,-7.147,-7.241,-7.344,-7.446,-7.56,-7.683,-7.813,-7.952,-8.104,-8.861,-9.797,-10.924,-11.704,-11.852,-11.99,-12.132,-12.289,-12.473,-12.681,-13.203,-13.991,-14.613,-14.774,-14.901
3,6.247,6.199,6.15,6.105,6.061,6.023,5.983,5.949,5.919,5.894,5.868,5.846,5.827,5.812,5.791,5.778,5.765,5.749,5.739,5.729,5.72,5.714,5.708,5.696,5.681,5.668,5.659,5.644,5.631,5.617,5.605,5.585,5.566,5.54,5.516,5.494,5.466,5.439,5.413,5.378,5.346,5.313,5.278,5.239,5.199,5.159,5.117,5.066,5.017,4.959,4.904,4.847,4.782,4.72,4.65,4.585,4.511,4.432,4.35,4.263,4.169,3.712,3.125,2.409,1.898,1.774,1.662,1.549,1.427,1.288,1.133,0.768,0.124,-0.548,-0.647,-0.737
4,6.203,6.156,6.106,6.062,6.018,5.981,5.942,5.908,5.879,5.855,5.829,5.808,5.79,5.776,5.757,5.744,5.732,5.717,5.707,5.698,5.689,5.683,5.678,5.666,5.65,5.636,5.628,5.612,5.598,5.584,5.571,5.551,5.531,5.502,5.479,5.458,5.429,5.402,5.375,5.339,5.306,5.273,5.237,5.197,5.158,5.118,5.076,5.023,4.974,4.914,4.859,4.803,4.736,4.675,4.604,4.538,4.464,4.384,4.302,4.215,4.121,3.663,3.076,2.365,1.854,1.707,1.57,1.427,1.268,1.078,0.863,0.468,-0.05,-0.537,-0.65,-0.737
5,6.193,6.146,6.096,6.051,6.008,5.97,5.931,5.897,5.869,5.845,5.82,5.799,5.782,5.769,5.75,5.739,5.728,5.713,5.704,5.696,5.688,5.682,5.679,5.667,5.651,5.637,5.63,5.613,5.6,5.585,5.572,5.551,5.531,5.5,5.478,5.456,5.428,5.4,5.373,5.335,5.301,5.268,5.232,5.19,5.151,5.111,5.069,5.014,4.966,4.904,4.848,4.792,4.724,4.663,4.59,4.524,4.449,4.368,4.286,4.198,4.104,3.644,3.053,2.346,1.841,1.716,1.599,1.477,1.34,1.176,0.989,0.601,0.098,-0.287,-0.393,-0.478
6,6.257,6.208,6.156,6.11,6.065,6.026,5.986,5.95,5.921,5.896,5.87,5.85,5.832,5.819,5.8,5.788,5.778,5.763,5.754,5.747,5.739,5.734,5.731,5.719,5.703,5.689,5.683,5.666,5.653,5.638,5.625,5.604,5.583,5.55,5.528,5.507,5.478,5.45,5.423,5.382,5.347,5.313,5.277,5.233,5.194,5.153,5.111,5.054,5.005,4.941,4.885,4.828,4.758,4.696,4.622,4.556,4.479,4.397,4.314,4.225,4.13,3.669,3.074,2.368,1.866,1.748,1.641,1.531,1.412,1.272,1.119,0.782,0.306,-0.101,-0.214,-0.307
7,6.184,6.136,6.085,6.04,5.996,5.958,5.92,5.885,5.857,5.834,5.809,5.79,5.773,5.762,5.743,5.733,5.724,5.709,5.701,5.695,5.689,5.684,5.683,5.671,5.656,5.643,5.638,5.622,5.609,5.595,5.583,5.562,5.542,5.509,5.487,5.466,5.437,5.409,5.382,5.342,5.306,5.273,5.237,5.192,5.153,5.112,5.069,5.012,4.963,4.899,4.842,4.784,4.714,4.652,4.576,4.51,4.433,4.349,4.266,4.175,4.079,3.613,3.017,2.312,1.815,1.714,1.623,1.53,1.428,1.31,1.181,0.868,0.354,-0.192,-0.329,-0.435
8,6.121,6.074,6.023,5.98,5.937,5.9,5.863,5.829,5.802,5.78,5.756,5.738,5.722,5.712,5.695,5.685,5.677,5.663,5.656,5.651,5.645,5.641,5.641,5.63,5.616,5.603,5.599,5.584,5.571,5.558,5.546,5.526,5.506,5.473,5.452,5.431,5.403,5.375,5.348,5.307,5.272,5.238,5.203,5.158,5.118,5.078,5.034,4.978,4.928,4.863,4.806,4.748,4.677,4.614,4.538,4.471,4.393,4.309,4.224,4.133,4.036,3.566,2.968,2.264,1.77,1.685,1.608,1.53,1.443,1.337,1.219,0.884,0.294,-0.302,-0.446,-0.557
9,5.987,5.943,5.895,5.854,5.814,5.779,5.744,5.713,5.688,5.668,5.646,5.629,5.615,5.606,5.59,5.582,5.575,5.563,5.557,5.553,5.548,5.546,5.545,5.536,5.523,5.511,5.507,5.493,5.482,5.469,5.458,5.438,5.419,5.388,5.366,5.346,5.318,5.29,5.264,5.224,5.19,5.156,5.12,5.077,5.037,4.996,4.953,4.897,4.847,4.783,4.726,4.668,4.597,4.533,4.458,4.39,4.312,4.228,4.142,4.051,3.953,3.477,2.88,2.177,1.684,1.602,1.526,1.446,1.354,1.239,1.102,0.71,0.101,-0.493,-0.636,-0.745
10,6.001,5.957,5.908,5.866,5.826,5.791,5.756,5.724,5.699,5.679,5.657,5.64,5.626,5.618,5.602,5.594,5.587,5.575,5.57,5.566,5.562,5.559,5.56,5.551,5.537,5.526,5.523,5.509,5.498,5.485,5.474,5.455,5.435,5.404,5.383,5.362,5.334,5.307,5.28,5.24,5.205,5.172,5.136,5.092,5.052,5.011,4.967,4.911,4.86,4.795,4.737,4.679,4.607,4.543,4.467,4.398,4.319,4.234,4.148,4.055,3.956,3.478,2.88,2.176,1.682,1.598,1.518,1.435,1.339,1.22,1.081,0.7,0.061,-0.538,-0.684,-0.797
11,5.912,5.869,5.822,5.782,5.743,5.71,5.676,5.645,5.622,5.603,5.582,5.567,5.554,5.546,5.531,5.524,5.518,5.508,5.503,5.499,5.496,5.494,5.495,5.487,5.474,5.464,5.461,5.447,5.437,5.425,5.414,5.395,5.376,5.346,5.324,5.304,5.277,5.249,5.223,5.184,5.149,5.116,5.08,5.037,4.996,4.955,4.912,4.856,4.805,4.741,4.683,4.624,4.552,4.488,4.412,4.343,4.264,4.178,4.091,3.998,3.899,3.418,2.82,2.115,1.62,1.531,1.447,1.358,1.256,1.129,0.98,0.589,-0.051,-0.665,-0.818,-0.932
12,5.911,5.868,5.821,5.78,5.741,5.708,5.674,5.644,5.62,5.602,5.581,5.566,5.553,5.546,5.531,5.524,5.519,5.508,5.504,5.501,5.498,5.496,5.498,5.49,5.477,5.467,5.464,5.451,5.441,5.429,5.418,5.399,5.381,5.35,5.329,5.309,5.281,5.254,5.228,5.188,5.153,5.12,5.084,5.04,5,4.959,4.915,4.859,4.808,4.743,4.685,4.625,4.553,4.489,4.412,4.342,4.263,4.176,4.089,3.996,3.895,3.412,2.812,2.107,1.609,1.517,1.429,1.335,1.228,1.094,0.937,0.537,-0.111,-0.762,-0.913,-1.025
13,5.845,5.803,5.757,5.718,5.68,5.648,5.615,5.586,5.563,5.545,5.526,5.511,5.499,5.492,5.479,5.473,5.468,5.458,5.454,5.451,5.449,5.448,5.45,5.442,5.43,5.421,5.418,5.405,5.395,5.384,5.374,5.355,5.337,5.307,5.286,5.266,5.238,5.211,5.185,5.146,5.111,5.078,5.042,4.999,4.959,4.917,4.874,4.817,4.767,4.702,4.644,4.584,4.512,4.447,4.37,4.301,4.221,4.135,4.047,3.953,3.853,3.367,2.767,2.06,1.561,1.465,1.374,1.277,1.165,1.027,0.864,0.459,-0.194,-0.777,-0.909,-1.01
14,5.85,5.808,5.761,5.722,5.684,5.652,5.619,5.589,5.567,5.549,5.529,5.515,5.504,5.497,5.484,5.477,5.473,5.463,5.459,5.457,5.455,5.454,5.456,5.449,5.437,5.427,5.425,5.413,5.403,5.392,5.381,5.363,5.345,5.314,5.293,5.274,5.246,5.219,5.193,5.153,5.119,5.086,5.049,5.006,4.966,4.924,4.88,4.824,4.773,4.707,4.649,4.589,4.517,4.451,4.374,4.304,4.224,4.137,4.049,3.955,3.854,3.366,2.764,2.055,1.555,1.456,1.362,1.262,1.145,1,0.826,0.4,-0.227,-0.681,-0.788,-0.873
