0,0,-9.62,0.102267511,-8.61,0.054393417,-8.9,0.102267511,-7.57,0.054393417,-9.25,0.102267511,-7.36,0.102267511,0,0,-8.72,0.054393417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.7,0.104417979,-8.4,0.058336219,-8.66,0.104417979,-7.3,0.058336219,-9,0.104417979,-7.15,0.104417979,0,0,-8.8,0.058336219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.87,0.153707272,-8.2,0.126987894,0,0.153707272,-7.09,0.126987894,-8.85,0.153707272,-7.29,0.153707272,0,0,-8.48,0.126987894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.62,0.119139106,-8.25,0.081817642,0,0.119139106,-7.14,0.081817642,-8.8,0.119139106,-6.95,0.119139106,0,0,-8.93,0.081817642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.46,0.228177752,-8.69,0.211104444,0,0.228177752,-7.58,0.211104444,-9.34,0.228177752,-7.68,0.228177752,0,0,-8.97,0.211104444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.38,0.114834507,-8.36,0.075411962,0,0.114834507,-8.17,0.075411962,-9.69,0.114834507,-7.99,0.114834507,0,0,-9.26,0.075411962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.27,0.132558295,-8.2,0.100357867,0,0.132558295,-7.59,0.100357867,-9.35,0.132558295,-7.29,0.132558295,0,0,-8.88,0.100357867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.06,0.317342773,-8.39,0.305297291,0,0.317342773,-7.28,0.305297291,-9.34,0.317342773,-7.58,0.317342773,0,0,-9.27,0.305297291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.05,0.337453714,-7.68,0.326151819,0,0.337453714,-6.47,0.326151819,-8.43,0.337453714,-6.47,0.337453714,0,0,-7.86,0.326151819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8.87,0.124930923,-7.4,0.090042964,0,0.124930923,-6.39,0.090042964,-7.95,0.124930923,-6,0.124930923,0,0,-7.9,0.090042964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8.8,0.180311911,-7.55,0.158153044,0,0.180311911,-6.99,0.158153044,-8.5,0.180311911,-6.54,0.180311911,0,0,-8.13,0.158153044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8.79,0.137344195,-7.12,0.10659938,0,0.137344195,-6.21,0.10659938,-8.07,0.137344195,-6.21,0.137344195,0,0,-7.7,0.10659938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8.75,0.116066744,-7.48,0.07727541,0,0.116066744,-7.09,0.07727541,-8.9,0.116066744,-6.83,0.116066744,0,0,-9.32,0.07727541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8.7,0.281267162,-8.23,0.267602721,0,0.281267162,-7.32,0.267602721,-8.88,0.281267162,-6.82,0.281267162,0,0,-8.71,0.267602721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8.61,0.189654297,-8.04,0.168726857,0,0.189654297,-7.53,0.168726857,-9.19,0.189654297,-8.33,0.189654297,0,0,-9.72,0.168726857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-8.52,0.286592783,-7.5,0.273194844,0,0.286592783,-6.64,0.273194844,-8.4,0.286592783,-6.54,0.286592783,0,0,-8.63,0.273194844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.116038377,-8.49,0.077232797,-9,0.116038377,-7.49,0.077232797,-9.11,0.116038377,-7.38,0.116038377,0,0,-8.33,0.077232797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.74,0.120350181,-8.81,0.083571324,-8.76,0.120350181,-7.6,0.083571324,0,0.120350181,-7.65,0.120350181,0,0,-9.29,0.083571324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-10.54,0.144984157,-8.88,0.116277279,-8.55,0.144984157,-7.2,0.116277279,-8.92,0.144984157,-8,0.144984157,0,0,0,0.116277279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-10.06,0.176384206,-9.55,0.153659976,-9.09,0.176384206,-7.5,0.153659976,-9.6,0.176384206,-8.94,0.176384206,0,0,0,0.153659976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.184060295,-7.75,0.162413645,0,0.184060295,-7.24,0.162413645,-10.1,1.84E-01,-6.54,0.184060295,0,0,-8.03,0.162413645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.103732056,-8.99,0.057099382,0,0.103732056,-7.79,0.057099382,-10.09,0.103732056,-8.05,0.103732056,0,0,-9.65,0.057099382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.217347828,-9,0.199349137,0,0.217347828,-7.79,0.199349137,-9.75,0.217347828,-8.39,0.217347828,0,0,-9.58,0.199349137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.148735641,-8.9,0.120922665,0,0.148735641,-7.79,0.120922665,-9.65,0.148735641,-7.69,0.148735641,0,0,-9.18,0.120922665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.109103573,-8.5,0.066359549,0,0.109103573,-7.39,0.066359549,-9.4,0.109103573,-7.1,0.109103573,0,0,-9,0.066359549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
