T:,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000
qcvz:,-5.194,-6.346,-7.706,-8.208,-8.774,-9.481,-10.845,-13.296,-15.568,-15.76,-15.901,-16.098,-16.633,-16.587,-16.519,-16.474,-16.41,-16.368,-16.327,-16.286,-16.269,-16.23,-16.192,-16.176,-16.139,-16.124
2,6.758,5.58,4.636,4.245,3.833,3.365,2.483,0.77,-1.141,-1.332,-1.497,-1.818,-3.774,-3.183,-2.631,-2.288,-1.999,-1.848,-1.749,-1.682,-1.656,-1.621,-1.593,-1.587,-1.567,-1.563
3,6.674,5.527,4.482,4.12,3.732,3.264,2.306,0.333,-1.307,-1.43,-1.533,-1.669,-2.038,-2.012,-1.974,-1.953,-1.919,-1.901,-1.883,-1.867,-1.865,-1.849,-1.834,-1.833,-1.818,-1.818
4,6.682,5.441,4.437,4.087,3.69,3.2,2.195,0.516,-0.962,-1.087,-1.192,-1.339,-1.839,-1.751,-1.667,-1.62,-1.568,-1.54,-1.517,-1.496,-1.491,-1.473,-1.457,-1.455,-1.439,-1.438
5,6.583,5.384,4.443,4.086,3.679,3.184,2.284,0.682,-1.076,-1.233,-1.364,-1.576,-2.204,-2.134,-2.019,-1.917,-1.793,-1.715,-1.656,-1.611,-1.593,-1.562,-1.533,-1.52,-1.487,-1.468
6,6.536,5.433,4.505,4.142,3.737,3.267,2.386,0.697,-1.319,-1.509,-1.647,-1.841,-2.287,-2.253,-2.197,-2.152,-2.072,-2.001,-1.922,-1.841,-1.792,-1.726,-1.672,-1.647,-1.609,-1.593
7,6.562,5.463,4.529,4.16,3.763,3.298,2.401,0.539,-1.47,-1.66,-1.792,-1.963,-2.369,-2.337,-2.291,-2.261,-2.208,-2.162,-2.101,-2.026,-1.969,-1.884,-1.806,-1.765,-1.711,-1.688
8,6.579,5.487,4.527,4.156,3.758,3.291,2.336,0.457,-1.616,-1.781,-1.898,-2.049,-2.451,-2.413,-2.365,-2.338,-2.296,-2.268,-2.234,-2.188,-2.15,-2.074,-1.985,-1.925,-1.844,-1.802
9,6.561,5.48,4.459,4.071,3.669,3.19,2.2,0.386,-1.748,-1.885,-1.993,-2.139,-2.604,-2.531,-2.464,-2.429,-2.385,-2.36,-2.336,-2.31,-2.297,-2.261,-2.214,-2.178,-2.107,-2.058
10,6.59,5.499,4.39,4.019,3.623,3.147,2.2,0.249,-1.789,-1.922,-2.031,-2.186,-2.858,-2.678,-2.548,-2.487,-2.428,-2.398,-2.373,-2.35,-2.343,-2.319,-2.29,-2.272,-2.223,-2.186
11,6.574,5.451,4.342,3.979,3.587,3.112,2.112,0.199,-1.84,-1.965,-2.068,-2.205,-2.577,-2.551,-2.512,-2.491,-2.457,-2.438,-2.42,-2.403,-2.4,-2.382,-2.362,-2.354,-2.323,-2.302
12,6.591,5.384,4.312,3.95,3.554,3.065,2.073,0.193,-1.384,-1.506,-1.608,-1.744,-2.137,-2.097,-2.049,-2.023,-1.985,-1.964,-1.944,-1.926,-1.923,-1.905,-1.889,-1.887,-1.872,-1.87
13,6.544,5.336,4.256,3.903,3.509,3.026,2.064,0.293,-1.342,-1.501,-1.62,-1.779,-2.234,-2.17,-2.105,-2.068,-2.015,-1.976,-1.93,-1.878,-1.845,-1.79,-1.74,-1.717,-1.681,-1.667
14,6.494,5.304,4.27,3.923,3.53,3.049,2.084,0.435,-1.406,-1.564,-1.68,-1.838,-2.335,-2.253,-2.172,-2.125,-2.068,-2.032,-1.993,-1.949,-1.919,-1.861,-1.801,-1.768,-1.719,-1.697
15,6.436,5.245,4.274,3.926,3.529,3.044,2.115,0.445,-1.483,-1.625,-1.737,-1.898,-2.471,-2.365,-2.256,-2.193,-2.127,-2.089,-2.055,-2.022,-2.005,-1.965,-1.921,-1.893,-1.843,-1.814
16,6.405,5.251,4.306,3.951,3.549,3.071,2.175,0.395,-1.511,-1.656,-1.773,-1.952,-2.608,-2.5,-2.361,-2.27,-2.177,-2.127,-2.087,-2.053,-2.037,-2.002,-1.961,-1.935,-1.882,-1.851
17,6.34,5.237,4.303,3.941,3.544,3.078,2.172,0.327,-1.654,-1.837,-1.98,-2.2,-2.752,-2.7,-2.614,-2.534,-2.417,-2.328,-2.249,-2.183,-2.15,-2.101,-2.055,-2.027,-1.973,-1.939
18,6.281,5.223,4.285,3.921,3.523,3.058,2.1,0.287,-1.743,-1.945,-2.099,-2.326,-2.823,-2.783,-2.719,-2.66,-2.556,-2.463,-2.369,-2.285,-2.241,-2.187,-2.144,-2.127,-2.094,-2.08
19,6.314,5.275,4.318,3.938,3.534,3.06,2.099,0.222,-1.758,-1.979,-2.14,-2.362,-2.808,-2.778,-2.728,-2.687,-2.604,-2.52,-2.421,-2.323,-2.265,-2.197,-2.146,-2.126,-2.093,-2.08
20,6.342,5.305,4.301,3.917,3.519,3.046,2.104,0.218,-1.597,-1.719,-1.821,-1.955,-2.326,-2.297,-2.257,-2.234,-2.199,-2.179,-2.16,-2.142,-2.139,-2.122,-2.105,-2.103,-2.085,-2.08
21,6.323,5.29,4.241,3.874,3.481,3.011,2.029,0.19,-1.567,-1.717,-1.832,-1.986,-2.377,-2.345,-2.301,-2.271,-2.223,-2.186,-2.143,-2.095,-2.065,-2.015,-1.968,-1.945,-1.909,-1.895
22,6.326,5.287,4.22,3.854,3.46,2.98,2.005,0.17,-1.566,-1.728,-1.849,-2.01,-2.407,-2.375,-2.329,-2.299,-2.247,-2.205,-2.156,-2.1,-2.066,-2.014,-1.968,-1.948,-1.915,-1.904
23,6.327,5.275,4.188,3.826,3.431,2.951,1.985,0.185,-1.61,-1.771,-1.889,-2.045,-2.438,-2.405,-2.36,-2.332,-2.285,-2.248,-2.204,-2.152,-2.117,-2.061,-2.01,-1.986,-1.949,-1.935
24,6.345,5.253,4.183,3.824,3.423,2.94,1.941,0.194,-1.633,-1.791,-1.906,-2.057,-2.437,-2.408,-2.366,-2.341,-2.299,-2.267,-2.228,-2.18,-2.147,-2.09,-2.035,-2.008,-1.966,-1.95
25,6.344,5.222,4.168,3.786,3.372,2.883,1.936,0.174,-1.649,-1.816,-1.936,-2.092,-2.508,-2.462,-2.409,-2.378,-2.331,-2.297,-2.254,-2.201,-2.164,-2.102,-2.045,-2.018,-1.979,-1.965
26,6.355,5.213,4.135,3.749,3.347,2.877,1.953,0.18,-1.683,-1.842,-1.96,-2.118,-2.589,-2.518,-2.447,-2.406,-2.352,-2.315,-2.273,-2.224,-2.191,-2.133,-2.077,-2.048,-2.005,-1.987
27,6.33,5.177,4.101,3.735,3.344,2.879,1.947,0.116,-1.74,-1.878,-1.985,-2.128,-2.536,-2.489,-2.438,-2.409,-2.369,-2.344,-2.318,-2.288,-2.27,-2.227,-2.176,-2.143,-2.088,-2.06
28,6.321,5.185,4.117,3.76,3.372,2.904,1.963,0.106,-1.744,-1.88,-1.986,-2.128,-2.546,-2.494,-2.44,-2.41,-2.369,-2.345,-2.32,-2.293,-2.278,-2.239,-2.191,-2.159,-2.102,-2.072
29,6.279,5.152,4.101,3.746,3.356,2.884,1.893,0.089,-1.781,-1.914,-2.019,-2.159,-2.571,-2.521,-2.469,-2.441,-2.402,-2.379,-2.356,-2.33,-2.318,-2.282,-2.236,-2.205,-2.148,-2.116
